arrival time(ms),resolution,steps
672.6188556935468,768,35
1473.824292366562,1024,40
1754.5632490112473,768,45
1843.7895260851662,768,40
2626.096822332657,768,40
2796.6738402104515,768,40
2977.4442319204,1024,35
3242.379101716315,1024,40
3517.2790140704574,512,40
4062.4213936153255,512,35
5432.352465597633,512,35
5535.176602718437,768,40
5663.164235335115,768,50
5846.703074883946,768,40
6058.216836533919,512,45
6140.645205996491,512,40
6305.047608030593,1024,35
7314.5340734155525,1024,35
7500.236336599033,1024,40
7535.068915361783,512,40
7537.878940568143,1024,35
7541.066171029437,512,40
9105.35687285116,512,40
9475.315855404231,512,40
10316.440177708671,1024,25
11030.558420304887,1024,35
11598.524390432023,512,40
11717.019813974439,1024,40
12286.758467013628,768,45
13947.919651650504,512,45
14387.788642804884,1024,40
14569.36974507205,1024,50
15000.439362950101,768,40
15209.647876851666,768,35
15363.601707759415,1024,40
17866.371675837014,768,35
17893.206687926555,768,45
18417.391565852016,1024,40
18594.958362354348,512,35
19380.944228180775,1024,30
20121.651246403977,512,35
20171.429190324172,512,40
20402.575762426663,1024,40
20774.257725908294,1024,50
20835.33621520152,512,50
22768.74917652292,1024,25
22802.544467116597,768,50
22915.796902947353,512,40
23036.69603842702,768,50
23172.1141725738,512,45
23461.11417287708,768,40
24219.545940936838,1024,40
24516.359901525855,512,45
25350.544997524317,512,50
26033.261629276167,768,40
26078.110186916154,512,40
26422.158391779823,1024,45
26480.215305656573,1024,40
27577.579573438867,768,40
27944.27943638608,768,40
28008.605045325876,768,40
28074.53265879348,768,35
28792.56711986141,512,45
29212.163618373273,512,45
29243.179976293584,512,40
29369.979736023262,768,35
29572.21725960886,512,40
30576.903588920813,768,50
30736.658329947444,1024,40
31069.42856462361,768,35
31614.793833949447,1024,40
32714.740586029577,1024,40
32977.05104963116,1024,40
33273.83395161531,768,45
33395.29546792712,1024,35
33407.06025418403,512,45
33501.74291231708,768,40
33537.85775541823,768,40
33810.30455923312,768,40
34921.48511335124,1024,45
35518.56836130143,512,40
35729.6977830456,1024,45
36798.673116284444,1024,35
37004.18261243637,1024,35
37139.2472115586,1024,40
38238.99704154478,1024,45
38290.28867676499,1024,35
39027.36518109518,512,35
39814.70967112897,768,30
40359.68658139421,1024,40
40550.942624153,512,40
41484.12286144838,512,45
43086.098235554964,512,45
43094.35266984511,512,45
44170.60310004215,768,40
44287.02370259008,768,40
44462.98909252684,1024,45
44742.00104480694,768,45
45064.87839088302,768,40
45202.04849494967,512,25
45434.70017453208,768,45
46953.582941158216,512,40
47269.21988994092,1024,40
47484.407728670645,512,40
47879.634042263846,1024,40
48007.71723526667,768,30
48529.70729957586,1024,40
48958.01728922953,1024,40
49295.297005182365,512,40
50027.626553334354,512,35
50857.80051261301,1024,40
50866.74838580623,512,40
51189.26802334705,512,50
51466.115388082115,512,45
51596.85275356498,1024,40
51703.098469968,512,40
52222.00908137949,768,45
52404.224133135685,768,40
53245.579667872524,1024,35
53576.80831628352,512,40
54443.878036583454,1024,35
54809.52819081839,1024,35
55115.24006856035,1024,35
55126.56038861686,1024,40
55474.52454139962,768,25
55486.72590615588,768,35
55596.233758213115,768,40
56124.77497404825,512,40
56249.583042092054,768,40
56320.28750888705,768,40
56542.47840020447,512,40
57108.25786799792,512,35
57188.13141308749,1024,40
57252.50468859094,512,25
57700.995381207715,512,50
57802.53459320888,768,35
58090.94005243638,512,40
58610.72574834799,1024,45
59930.24035215713,512,40
60196.85878281214,768,40
60515.794264375625,1024,40
60597.93717827964,768,45
60980.69773995622,768,40
61475.67983420873,1024,35
61963.03053120226,512,35
62764.46792259314,768,40
62957.06520532559,1024,50
63293.048292842876,512,35
65403.57473209984,768,40
65732.49760137331,512,40
65776.4999290419,512,45
66280.16998585961,768,40
66885.51522778269,768,45
67016.28729803007,1024,40
67114.75481845284,768,40
67422.5838429332,512,45
67997.58316239627,1024,30
68036.02987234134,512,45
68722.78965779021,512,50
