arrival time(ms),resolution,steps
235.9210348868568,512,35
550.8735532517251,1024,40
707.9831594548549,1024,45
1261.019893262244,512,40
1593.562504304889,1024,40
2133.904494568504,512,40
2417.089445710898,512,35
2790.1300112455638,1024,40
3100.166925615711,512,40
3310.336114718419,512,35
3820.820169335727,512,35
3990.1106948372785,768,40
4041.583968747279,512,50
4318.200999889975,512,40
4491.9393207309895,1024,45
4797.684280173571,512,40
4969.198369432105,512,35
5108.267274351488,512,35
5231.103805849214,1024,40
5636.902457245042,512,40
5915.028449757637,512,35
5927.752521886639,1024,40
6085.861719109041,1024,40
6881.263230964739,512,40
7124.856571929609,768,25
7576.69183283086,512,35
7982.500460941312,512,40
8117.616171442478,512,40
8245.521017996025,768,45
8636.663143898533,512,45
8778.677061574072,1024,40
8954.938392410146,1024,50
9064.040295663257,512,40
9110.15928452232,512,35
9376.208111839067,768,40
9826.078811546406,512,35
10051.299775185413,768,45
10107.881156679798,512,40
10375.036762444775,1024,35
10664.847262683556,768,30
11214.784278342237,512,35
11293.154183291448,768,40
11376.50684826421,1024,40
11859.176864011619,768,50
11895.13349958657,768,50
12292.951247276396,1024,25
12662.369969385534,512,50
12863.98316554196,768,40
13157.532993148143,768,50
13201.335282291213,512,45
13235.999748305472,512,40
13382.01397005714,768,40
13751.703901131652,512,45
14204.937826921983,768,50
14421.582510608288,512,40
15278.184338080193,512,40
15387.033490965472,512,45
15474.175624622476,512,40
15567.068653042554,512,40
15961.72475936603,512,40
16157.12603304256,1024,40
16959.502807403907,512,35
16974.150899716507,1024,45
17228.818410163745,768,45
17877.074484427478,512,40
18274.17490306065,768,35
18509.964098748627,1024,40
18765.384080410753,1024,50
20242.61088788226,512,40
20244.73001435067,768,35
21356.33602363093,1024,40
21572.46679213575,1024,40
21724.05894962436,512,40
21743.67105622739,512,45
22341.673195992975,512,35
22378.830882448266,1024,45
22608.26175696434,768,40
23406.355552528956,512,40
23426.931920487186,512,40
23468.722848703077,512,45
23582.833617822846,512,40
24493.589222769664,1024,45
24760.211392139463,768,35
24884.227904715044,512,35
24971.16579674509,768,40
25337.031791995025,1024,45
25503.156530105916,1024,35
25563.125802066395,512,35
26087.096800126394,768,30
26208.895257772718,512,40
26410.040927646867,512,40
26451.197357937926,768,45
27056.559799760016,1024,45
27343.661557365213,512,45
27686.738225491143,512,40
27928.63474254911,768,40
28032.007326074676,1024,45
28262.802487303547,768,45
28989.271991945898,1024,40
28998.5920349721,768,25
30017.810374787947,768,45
30117.4402005122,1024,40
30730.69848048399,512,40
31107.783278826537,512,40
31518.878471922602,512,40
31637.14727357254,512,30
32478.70952193617,512,40
32524.707866921068,512,40
32569.225178088614,768,40
32657.12841808682,512,35
32971.04733072487,512,40
33160.28564196611,768,40
33182.50805191431,512,50
33390.778428621554,512,45
33490.08068455767,768,40
33505.40469338943,512,40
33751.901694220716,768,45
34283.84240634253,512,40
34675.095643532404,512,35
34886.84669489784,512,40
34904.9646745908,768,35
35188.248178257556,1024,35
35193.64974194974,768,35
35262.1949799613,512,40
35538.863825124776,1024,25
35901.03338680412,768,35
35909.547445068536,512,40
35928.74446382611,512,40
36001.33287860495,512,40
36227.97055959379,512,40
36493.9950065254,1024,40
37216.36294585969,512,35
37385.37907350128,512,40
37481.7973565394,768,25
37705.1471714292,512,50
38564.001113610895,1024,35
39559.27683134595,512,40
39607.39164399791,512,45
39608.36990787051,512,40
40739.46263413763,1024,40
41022.99584392351,512,40
41041.12862205227,512,45
41082.30314662965,512,40
41230.5293406325,1024,35
42242.19541592527,768,35
42515.633088372626,512,40
42894.53375737079,512,50
43081.27488648775,768,35
43139.428899502534,768,40
43596.12791268064,512,40
43707.66262929697,768,45
43925.10975357529,512,40
44213.62592955251,1024,45
44517.27625141043,1024,40
44751.51040937234,768,40
45542.11597670988,512,45
45945.418843190826,512,30
46271.169086257476,768,45
46603.94305790138,1024,50
47133.62578768842,512,40
47235.80405976412,768,40
47282.413554585604,512,40
47793.8620063931,512,45
47987.870067648546,768,35
48968.966158940515,512,45
49175.05707286801,768,40
49427.462827251016,768,35
49706.082221115284,768,45
50008.57083199292,768,35
50216.839990089036,512,45
50280.396145755956,512,45
50307.45005433897,1024,35
50355.51063746706,512,35
50497.02946358465,1024,45
50627.562462320704,1024,40
50644.03376273572,512,40
50727.05866226062,512,40
50746.9243352284,1024,40
50888.35759392399,512,35
50982.612238189846,512,35
51117.50960767729,512,40
51638.070950357804,768,40
52192.94616620977,768,40
53030.203302079135,512,35
53137.56520199709,512,45
53604.284606051144,512,50
53701.1067707593,512,30
54052.268728490395,512,45
54108.02588321015,768,45
55299.25178729384,512,45
55459.46156501374,512,50
56336.59828548094,512,35
56472.89442518863,768,35
56702.871634387826,512,35
57088.08540477464,768,45
57430.03971761549,512,35
57493.417055049234,512,40
57637.32986517693,1024,45
58022.26267223727,768,40
58318.023205107995,768,45
58554.862092896525,512,40
58576.99926357708,512,40
58780.80711215055,1024,40
58854.27186018497,512,40
59097.67946161698,768,45
59282.657559160056,512,45
59442.381671363546,512,40
59503.55129861058,512,35
59523.21118850457,768,40
59816.48995974065,512,35
59967.13270604197,768,40
60784.06886474033,512,45
61153.966199155635,1024,40
61523.43604509967,512,45
61688.522641138254,768,45
61923.96753696555,512,40
62322.701471928434,512,45
62822.40498880846,1024,40
63079.16543833449,1024,30
63174.075879233234,512,30
63349.59235110193,512,35
63559.385800317854,1024,45
63677.39842103293,512,45
63987.350442571136,512,40
64086.259239007275,768,45
64094.39714087688,512,40
64483.39492955442,1024,40
64499.3462370914,512,35
64767.42337126909,512,40
65921.54428471287,1024,40
66030.23173503343,768,35
66481.65363506183,512,45
66623.80653286101,768,40
66851.36091322175,768,40
67129.59574917213,512,40
67210.41430287766,512,40
67434.98523897522,768,45
68306.90266703906,768,45
68381.03823464664,1024,35
68459.54061070697,512,40
68525.27368098804,768,40
68816.66481500275,1024,35
69516.49368973146,768,40
69534.30218494635,768,40
69573.5744453829,512,40
69886.48289778757,1024,40
69961.69037788619,768,45
70051.63629884647,512,45
70834.77910653928,1024,45
71145.57450364683,512,25
71935.08106034186,768,45
72617.22152762549,1024,45
72729.59964237276,512,30
73040.34665603994,1024,40
73588.56247455484,1024,35
74030.31934423915,768,35
74472.27736333816,768,40
74677.68594005347,512,45
74816.93295434058,1024,40
74968.3227286139,512,45
75042.52693378188,512,30
76452.10540868588,1024,50
76453.33536370883,1024,40
76697.78644954624,768,40
76825.9319680306,512,45
78021.83915112959,512,35
78034.8632668648,512,50
78390.11300081719,512,45
78593.54177228498,512,45
78623.15384088656,512,40
78701.37904451962,512,40
79129.60738638852,512,40
79308.79150885133,768,40
80055.90247098134,768,45
80147.67316921176,512,45
80189.29868951594,1024,40
80293.77683758912,1024,40
80422.113509068,512,40
80617.95046638793,512,40
80929.69153680792,512,40
81038.5015281584,512,50
81051.71873904587,512,40
81331.64889460018,512,35
81806.65758789868,512,45
82407.60748707697,768,35
82807.98162084159,768,40
83268.5414746364,512,45
83569.4022473323,512,45
83584.71386040114,512,40
83899.90443681307,512,40
84206.24362014403,768,45
84427.09535244772,512,35
85386.90929106066,768,40
85717.75974678881,512,40
85818.2617296023,1024,35
85905.45134513498,512,50
86067.94235217758,1024,50
86102.04142470073,512,45
86276.53526011025,512,45
86453.01594250964,1024,25
87020.15123666517,512,40
87292.97770441657,768,30
87465.25021242039,512,40
87618.31107669474,512,40
87641.80326262841,512,35
87906.96330717168,512,45
88057.48022051943,1024,50
88118.19620582646,512,45
88128.67336037791,512,40
88410.61589195553,1024,40
89385.26810807195,1024,45
89639.70693885683,768,40
89770.112762173,512,50
89951.91993655253,512,35
90477.7609683165,768,45
90481.20472807056,512,40
91096.53066189018,512,40
91148.49544177645,512,45
91203.20658568326,768,45
91355.70408715126,768,45
91499.35785802123,512,40
91568.33228055952,1024,40
92175.65476973321,512,30
92202.74971759778,512,40
92374.72330059824,512,35
92612.54141018876,768,50
92619.0208178236,768,35
92656.02401949465,768,40
92803.64001146806,1024,30
92957.16706697823,1024,25
93278.70164465158,1024,35
93344.90683686921,768,40
93538.8898908798,768,35
93649.00369572702,512,45
93744.48503272975,512,40
93897.8572686171,512,40
93989.3407093707,768,35
94098.25137080128,512,40
94826.75874164191,1024,40
95105.30976974299,768,40
95606.69688975258,512,45
95692.05068314086,512,40
97028.77677180723,512,45
97146.91560529511,1024,40
99305.87618905917,512,40
99844.34968837317,768,30
101434.27279172368,768,35
101695.57886784016,768,40
101902.5070691166,1024,25
102506.67351101796,512,40
102681.8576128488,512,40
102715.84166308977,512,45
103237.96227010038,768,40
103253.09028395335,1024,35
103403.0517156031,512,40
103610.01596663188,512,40
104296.1160638751,1024,40
104754.92686683571,1024,35
104796.83719055112,768,50
104996.85425891615,768,50
105023.98598771023,1024,30
105265.10298888016,512,30
105434.38465857804,512,40
105800.81994342037,768,40
105973.47002548097,768,45
106140.35004441597,512,40
106667.95970966805,512,45
107194.33192174938,512,35
107323.34063683815,1024,45
107375.67198917488,1024,45
108232.9817941095,768,30
108543.51788713681,1024,45
108928.35918390559,1024,30
109231.69302222916,768,40
109259.89344386342,512,45
109374.33321668683,768,40
110188.79604150799,512,40
110281.70834765049,512,45
110695.35229832816,1024,40
111012.0511994916,768,35
111874.96008621874,1024,45
112187.42484658722,512,40
112415.80095994788,768,30
112939.92291586801,512,40
113191.91716620009,512,45
113518.191941376,512,40
115010.66797112672,512,25
115989.32614539553,512,40
115995.13186771826,1024,50
116046.23514541157,768,25
116132.277172451,1024,35
116145.62248753516,512,35
117575.48987793579,1024,45
117605.0016105862,512,35
117965.65948512821,1024,35
117976.36961623395,512,35
118053.74728588128,768,35
118356.39570579185,1024,40
118438.89248580097,512,35
118883.55238254688,512,40
118961.0220792567,512,40
119364.85561422902,512,35
119939.95194376547,512,40
119966.89693832461,768,40
120140.73781723525,1024,40
120190.99642557203,768,45
121007.31144793895,512,45
121019.371190657,768,30
121453.03503463852,768,40
121461.46152480681,512,50
121600.23210638123,768,35
121818.12355916077,512,40
122422.07760087731,768,40
122467.39125193412,512,40
122658.5009433709,512,45
122671.65750817713,1024,50
122674.46249842587,1024,40
123429.10750685114,1024,40
123633.5759521611,512,30
123763.52123307028,1024,45
123987.74277520755,768,40
124950.39691720664,512,45
125833.36757580766,512,40
126577.47716399882,1024,40
126664.46475678256,768,40
126735.38674546141,768,40
127681.10025629884,768,25
128494.80536799572,768,40
128523.1002117666,1024,40
128530.55106008392,512,40
128614.15205199055,768,45
128818.98896697757,512,30
128878.95422209146,512,40
129083.8362328604,768,45
129368.71485349562,512,40
129480.04122544097,768,40
129502.02887194058,512,40
129513.72520492048,512,40
130566.98361706642,1024,40
131109.15688495332,768,35
131716.35624411807,768,45
132373.96589968956,1024,40
132876.203870657,512,40
133380.30490029635,1024,40
133817.27064040376,1024,30
133821.22868567222,512,45
134102.13695924086,768,30
134539.6826625702,512,30
134931.941710525,1024,40
135360.06840108195,1024,40
135844.15766410666,768,35
135848.7856977143,768,35
136629.0877312038,768,30
136908.36022174303,1024,40
137101.12640179993,512,45
137642.65747147411,1024,35
137882.78121156388,768,45
138142.8877844219,512,45
138162.8177650315,768,40
138315.78845561596,1024,40
138416.94389608604,1024,40
138773.12584285738,512,35
138864.21489340573,512,40
139025.1262028687,512,35
139100.14290552237,512,40
139887.84689207943,512,45
140267.1738184062,768,45
140660.89265887832,512,40
140787.98218381897,768,40
140857.2760284792,512,40
141706.75076261972,1024,40
142041.21445157492,512,40
142990.91488912085,1024,35
143297.99563256322,1024,40
143341.6387733862,768,45
143718.91093390228,1024,45
143938.9417782948,1024,40
144290.82635809644,1024,45
144544.65755269525,512,30
144811.30706172032,1024,40
145073.30875617446,512,40
145187.03924777027,768,35
145617.5503772493,1024,35
146256.41071011958,1024,45
146280.7761339778,512,40
146338.33512370277,768,45
146877.2922249479,1024,40
146891.79346084665,1024,50
146908.98041867634,768,45
146924.6651156461,1024,40
147160.8545734299,1024,40
147264.33680449947,512,45
147522.35456511684,1024,40
147713.04637886927,512,40
147978.91685264796,768,35
148081.89014678972,512,40
148157.31895560445,512,35
148394.04970032148,1024,40
148905.8193714101,1024,40
149233.20485119984,512,30
149274.62415200248,1024,35
149307.68677946943,512,40
149569.05140842922,1024,45
149955.88657476933,512,40
150100.84791799998,768,40
150601.4200966246,768,40
151464.64592475974,1024,35
151516.78924451844,768,40
151717.6011103507,1024,40
151834.925410269,512,35
151999.4555276334,512,35
152163.70750179747,512,40
152510.09675262385,512,50
152684.84279503036,1024,40
152689.91760390057,512,45
154006.65690408883,512,40
155095.5448617742,768,35
156026.7407191854,1024,35
156265.4722606967,512,40
156535.15067651763,1024,40
156560.8495272673,512,35
156561.54555185142,768,40
157458.98820383588,512,40
157650.68252784782,768,40
157963.96669291542,512,25
158802.9824467897,512,35
159110.32243893584,768,40
159196.18024126405,512,40
159341.4564587154,512,45
159375.7523272229,512,45
159939.81512210413,512,40
160448.70946407443,768,50
161123.13097861002,768,40
161213.3130230007,512,35
161701.1205481907,512,40
162794.85598078175,512,35
163698.71469993895,1024,45
163898.0279622944,512,40
163917.2527664436,768,35
164056.93346525307,512,30
164320.84439641036,768,35
164448.25235286466,512,40
164465.10778541485,512,40
