arrival time(ms),resolution,steps
421.88278327463274,768,35
588.1251511016425,1024,40
688.5195642365203,768,45
1436.7385920776262,768,40
1494.4356266337138,768,40
1852.3387643721862,768,40
2043.0633151956404,1024,35
2714.7408885180625,1024,40
2778.976781920516,512,40
3088.01573293796,512,35
3402.204294838942,512,35
4236.282543349561,768,40
4295.2040066987065,768,50
4417.858549714619,768,40
4558.345006024712,512,45
4653.282618858781,512,40
4947.23270539087,1024,35
5187.8338986456865,1024,35
5287.915833126243,1024,40
5350.205236346393,512,40
5377.288084693941,1024,35
5449.122910684562,512,40
5732.032110212007,512,40
5860.363884229837,512,40
5964.103702970304,1024,25
6449.471001325713,1024,35
6620.5783695548525,512,40
6713.681036199959,1024,40
6741.583528933314,768,45
7298.825703035215,512,45
7343.743874556956,1024,40
7380.2503647963185,1024,50
7638.444672564341,768,40
8111.4892059277445,768,35
8241.752968988241,1024,40
9051.154541794063,768,35
9321.236286123432,768,45
10238.857300415064,1024,40
10503.473126209976,512,35
10528.511419254226,1024,30
10531.538242472387,512,35
11130.222342243114,512,40
11536.584128364468,1024,40
12247.310444334535,1024,50
12252.945071235546,512,50
12863.865953762992,1024,25
13025.752474270888,768,50
13142.264395589667,512,40
13165.656702909402,768,50
13324.3811817154,512,45
13349.611077560705,768,40
13512.37520281713,1024,40
13696.754500526724,512,45
14055.944750102773,512,50
14056.182029980342,768,40
14258.532834856127,512,40
14485.278640996754,1024,45
14961.764502897866,1024,40
15263.292144839681,768,40
15964.960244974962,768,40
16057.061918185802,768,40
16062.21134758505,768,35
16073.110128681268,512,45
16121.81564435818,512,45
16487.44774095434,512,40
16639.313738071643,768,35
17157.88759498457,512,40
17287.511097923518,768,50
17541.119763012834,1024,40
17620.013511864632,768,35
17913.858956420045,1024,40
18117.230453944285,1024,40
18326.629260264523,1024,40
18499.329219434956,768,45
18635.128506789377,1024,35
18666.322470554966,512,45
19418.623505252297,768,40
19824.518888593342,768,40
19955.210377679054,768,40
20000.70252903091,1024,45
20013.64903185145,512,40
20287.492795891696,1024,45
20954.861317570867,1024,35
21047.141610690684,1024,35
21210.15344657926,1024,40
21251.739046918297,1024,45
21256.806514325326,1024,35
21328.136721781615,512,35
21451.392047065518,768,30
21473.419441774673,1024,40
21941.759601411606,512,40
21967.360198374736,512,45
22134.990938987652,512,45
22261.45710335107,512,45
22716.711187872166,768,40
22867.08839635619,768,40
22967.13424962496,1024,45
22969.561971612657,768,45
23694.52069952376,768,40
23892.476845639645,512,25
24086.180366679542,768,45
24247.699867470485,512,40
24468.058434367253,1024,40
25133.422531098673,512,40
26001.132339040858,1024,40
26097.76490548455,768,30
26262.335111524175,1024,40
26278.555296145867,1024,40
26392.34645308984,512,40
26761.897130255915,512,35
26853.66745404585,1024,40
28669.214935042186,512,40
28876.390612667285,512,50
29065.468768307397,512,45
29526.474335225594,1024,40
29780.808800840685,512,40
30400.777106116268,768,45
30902.2554796108,768,40
31405.42627187532,1024,35
31670.955813999248,512,40
31687.725183990056,1024,35
31716.46470725578,1024,35
32078.490452611604,1024,35
32177.333412287084,1024,40
32629.538822554507,768,25
32824.445018878716,768,35
33158.73044446384,768,40
33410.48869580617,512,40
33425.159091252375,768,40
34177.6349579251,768,40
34212.02279926496,512,40
34729.3298365277,512,35
34813.32756414159,1024,40
34964.40608444404,512,25
35135.106201057235,512,50
35174.42158789545,768,35
35174.845215734924,512,40
35186.50015605025,1024,45
35209.02508603395,512,40
35426.95688342655,768,40
35507.38516017859,1024,40
35654.82472517,768,45
35894.96018758209,768,40
36000.784061794395,1024,35
36137.10539693822,512,35
36143.053016436745,768,40
36824.012063721464,1024,50
37180.48888724669,512,35
37445.80406755676,768,40
37537.62644954325,512,40
37634.66870895204,512,45
38278.974484940954,768,40
38623.4514607051,768,45
38690.171902223185,1024,40
38774.995212879374,768,40
38895.39719207933,512,45
38898.290881126086,1024,30
39124.38190811714,512,45
40320.30713597565,512,50
40773.279917088716,768,40
40881.825864318125,768,40
40973.67850141965,768,40
41272.10399530744,768,45
41464.9341740072,512,35
41902.918872118746,768,45
42142.301372524635,768,40
42283.86899136337,1024,35
42429.880513308155,512,45
42459.780742341674,512,35
42723.458912293674,1024,45
42900.9602474949,1024,45
42952.37599505647,768,35
43129.923199524375,1024,35
43167.81769818861,768,45
43294.40322025562,768,40
43703.02035024067,768,40
44704.11353482062,768,40
44731.19701340232,768,40
44846.597002086455,1024,35
44915.02935527015,1024,35
45193.222077516584,768,40
45266.20340591798,768,40
45723.59680154791,768,40
45729.36837369551,768,35
45737.93133816253,512,45
45856.983433690024,768,50
46668.899295074225,1024,30
46765.23980865268,512,45
46854.54198414618,768,45
46925.51141050593,768,45
46949.61325150712,512,50
47237.77799655102,1024,35
47376.77349760091,512,35
47519.089355756914,512,35
47737.270869090935,1024,45
47940.482368649435,512,35
48076.031087168776,768,40
48187.01693244208,1024,45
48221.224399335944,1024,40
48404.838621710915,1024,45
48444.58745398605,1024,40
48803.72043987703,768,40
48825.441003359636,1024,40
48942.118123675034,512,40
48964.48083578669,1024,45
49233.26404672671,1024,45
49249.56330131538,1024,40
49324.10252369896,768,35
49371.248516283595,512,40
49430.31072061425,768,35
49542.641532767695,512,40
49798.70212114463,768,45
50058.0190577459,512,40
50414.58211460437,768,45
50836.15896155221,512,45
50856.87804933448,768,40
51093.10644393315,768,45
51239.815870497834,1024,40
51345.531656671286,768,30
51728.653341084486,768,30
51902.98146189316,1024,35
52140.07911000929,512,45
52187.322593430916,1024,45
52268.21722123517,768,40
52289.59222931718,512,45
52669.46619107608,512,40
52994.17068438761,1024,40
53017.75420205004,768,35
53045.56324129715,512,40
53705.99437406439,512,40
53960.0369946669,768,35
54312.07838370788,768,45
54691.654544211524,512,40
54919.82812597647,1024,40
54927.2076531754,768,40
55240.24893244114,768,40
55463.64086630643,768,45
55767.64900264707,512,45
55897.14847937793,1024,35
56224.52719031564,768,40
56379.99432016387,1024,40
56551.34990164583,1024,35
56847.2460571079,512,40
56896.98465342477,1024,40
57399.562291222115,1024,40
57512.021528430596,1024,40
57576.66431906599,768,45
57769.86740412431,1024,45
57816.30472718191,1024,45
58104.22333192151,768,25
58209.83280964606,512,45
58428.62826024778,1024,45
58628.564254218814,512,30
59138.905304081796,768,40
59139.086755465134,1024,35
59220.980298103306,1024,35
59675.09971159129,1024,40
59680.095250797785,1024,45
59892.7100954687,512,40
60295.64314458919,768,45
60338.30113662765,768,30
60434.37287520712,768,50
60438.54009286629,1024,40
60451.99566679119,512,40
60581.237933526725,768,45
60718.15374445098,768,35
60822.226061274065,1024,50
60921.974762817976,768,45
60966.21650327377,512,45
61331.729867617854,768,40
61355.048882116986,768,40
61903.03026280134,768,40
61931.49121790162,768,40
62208.9540181161,768,45
62341.457170272,1024,45
62771.755550980895,768,40
63028.051795383064,1024,40
63528.6032541448,512,40
63601.027043339396,512,40
63655.5854832918,768,40
64123.76566867546,1024,50
64381.3583964274,1024,40
64569.32809656963,512,35
65273.47508746851,768,45
65533.53333315262,768,35
65674.24277989104,1024,40
65840.33267862427,1024,45
65920.9300052488,512,45
65949.05961707041,1024,40
65996.7006703931,512,40
66226.13090089877,512,45
66254.31967101054,512,35
66421.99439672305,512,40
66525.60263461396,768,40
66711.11424334768,768,35
66979.55118682544,768,50
68078.84786680147,768,50
68124.1264097277,768,45
68183.00457788208,512,45
68281.19948885328,1024,25
68376.64504557813,512,40
68457.77992430826,1024,30
68672.44431669454,1024,40
68746.34606048664,512,40
68919.5581789811,1024,35
69183.99599611264,512,45
69590.51448325088,1024,50
69617.15054026204,1024,45
69711.84735955865,1024,40
69917.51483804511,512,40
70093.86124796304,1024,45
70131.3788693908,768,40
70243.94840352972,768,50
70499.47153478526,512,35
70552.95821955745,1024,45
70610.98663519483,1024,40
71150.25560986034,1024,40
71263.51164910042,1024,45
71395.90813065045,512,45
71670.0370383736,1024,45
71977.55924044577,512,40
71991.03651510758,512,40
72171.3653796131,768,30
72197.80449543888,1024,40
72618.16314066692,512,35
72732.47344000812,1024,50
73079.37076516396,512,35
73285.39738127662,512,40
73680.96046253055,768,30
73814.21796895796,512,25
73817.96677265377,768,35
74125.65809321798,768,40
74138.53698135231,768,35
74177.23100543619,768,45
74340.06079030903,768,40
74537.71471606499,512,40
74652.50775497632,512,35
74869.5588914252,1024,40
75030.06987005084,512,40
75311.69193525023,768,40
75504.82290939649,768,45
75858.90785898901,512,40
76033.95783574555,1024,45
76388.79195059094,768,40
76538.7484728023,512,40
77045.12601180053,1024,30
77117.03943733331,512,35
77223.19686369535,768,40
77415.19453306912,1024,25
77441.68752046823,768,40
77690.95201112848,1024,40
77719.56328818403,1024,45
78177.0156952077,512,40
78223.10654594327,512,35
78396.50462367208,512,40
78922.35483010257,1024,40
79399.52318986286,768,40
79648.65904859234,512,35
79913.4177053054,1024,50
80379.75947700428,768,50
80492.25866769257,512,30
80562.54869509139,1024,30
80683.04197465634,512,40
80930.87447585566,512,40
80947.42073273835,768,45
81346.22939047807,768,40
81405.65134746575,512,45
81594.16300806307,768,35
81641.40683222315,512,45
81786.96666510416,1024,45
81853.12477509733,1024,30
81924.61986177968,1024,45
82319.31420155827,768,30
82396.89988926428,768,40
82702.64505011306,1024,45
82759.14631278467,768,40
83127.80076768927,512,40
84493.3552527536,768,45
84532.98372759248,1024,40
84684.42631493509,1024,35
84982.49295484577,1024,45
85037.1843930728,512,40
85827.0851013401,512,30
85890.06193437037,1024,40
85979.9340527943,1024,45
86010.27440829374,1024,40
86124.9681527261,1024,25
86258.09429180207,512,40
86425.95158301834,768,50
86551.16491811367,512,25
86664.51865382711,512,35
87855.50821187376,768,35
87990.02383672852,768,45
88489.27661240622,768,35
88493.71309105544,1024,35
88601.51306536737,1024,35
88896.81845163018,768,35
89012.85756106942,768,40
89301.83630627838,1024,35
89422.55830942989,512,40
89459.73601024513,512,40
89602.94229023655,1024,35
89651.672218939,768,40
89763.94679962083,512,40
89941.04335091167,1024,40
89943.00346888052,512,45
90127.28261502353,1024,45
90162.10788104248,1024,30
90164.23196407304,768,40
90317.15431185275,512,50
90658.33658348388,512,35
90716.07483467126,1024,40
91028.31276496411,768,40
91245.50511540301,1024,40
91471.42958799849,512,45
91725.4462491647,1024,50
91748.01626617275,1024,40
92111.9972670814,512,40
92165.95389044096,768,30
92183.48259004013,512,45
92200.75072400564,1024,40
92713.73832252318,512,45
92844.98286513716,1024,40
92883.5787675428,512,40
92977.27423545098,768,40
93122.21270226657,768,40
93260.72807828341,768,25
93306.9567628783,768,40
93522.08423751322,1024,40
93695.80063488228,1024,40
94008.78142641789,512,45
94215.85048501025,1024,30
94334.18413239156,1024,40
94512.5984500521,512,45
94685.9861934918,768,40
94755.03127453336,512,40
94772.94685769541,1024,40
95002.8775477572,512,40
95221.96440106607,768,40
95291.06033330389,768,35
95313.03024264975,1024,45
95437.95402646072,768,40
95755.82258479526,1024,40
95829.79980752831,1024,40
96184.12422695123,768,30
96350.47164164882,512,45
96472.54922968599,768,30
96516.36060869187,512,30
96618.72642818525,768,40
97330.72338825179,1024,40
97768.84191945962,1024,35
97784.79286311717,512,35
97876.33044487592,1024,30
98275.23644962329,768,40
99124.84566965341,768,45
99329.93082113797,512,35
99399.13376516136,512,45
99491.09712619924,512,45
100427.78844946032,512,40
100739.71214090243,768,40
100749.81579999223,768,40
101224.05848930198,1024,35
101307.68583998112,512,40
101307.68783257701,768,35
101768.31173126456,768,40
101918.20805320417,1024,45
102043.39111776212,1024,45
102173.23339230008,512,40
102940.72564384203,1024,40
103288.85365397493,512,40
103509.95340474935,1024,40
104028.4698775709,768,40
104429.50987869548,512,35
104522.9428720713,768,40
104527.09060510912,1024,45
104767.25087970271,512,45
104785.66640224411,768,40
105246.35360365846,1024,45
105587.9652418767,768,30
105724.61938991376,768,40
105867.98970152259,512,40
106058.37395428993,512,35
106064.9470221488,512,35
106258.1723910133,512,45
106560.53561952329,768,40
106934.77818904354,512,45
106938.31182111782,512,40
107001.1706229069,768,50
107336.26877599276,1024,45
107553.17229537231,512,40
107557.70652657149,512,40
107714.7330473763,1024,45
107884.20336776885,768,40
108050.94279115155,768,40
108557.47771753733,1024,35
108693.56950920988,512,40
109017.58375180219,1024,35
109110.85462240897,1024,40
109464.77576824895,512,40
109636.93304313463,1024,30
