arrival time(ms),resolution,steps
683.1563045731048,768,35
1390.9219269476605,1024,40
1625.0331571279412,768,45
2207.232631929811,768,40
2311.063735273441,768,40
2569.010638808763,768,40
2808.6899977082726,1024,35
3193.1900612134646,1024,40
3238.599553989903,512,40
4527.771642849955,512,35
4795.433842786039,512,35
5626.2597336389335,768,40
6611.904858677671,768,50
7256.350489743779,768,40
7723.749638480273,512,45
7960.037546289811,512,40
8584.511360961002,1024,35
10062.897664544522,1024,35
10073.763033202355,1024,40
11058.819195535249,512,40
11919.551234674838,1024,35
13165.399703890711,512,40
13424.387268299666,512,40
14532.881106853974,512,40
14755.34901128097,1024,25
15582.314780607,1024,35
16386.346026661176,512,40
18160.59274619977,1024,40
18688.654445582386,768,45
18752.464300352658,512,45
19175.10771810208,1024,40
19628.010034679013,1024,50
19960.143886585152,768,40
20106.277356275594,768,35
20211.931847832446,1024,40
20220.311541627747,768,35
20601.41193218579,768,45
23394.623910333805,1024,40
23588.64846461355,512,35
24138.60316656567,1024,30
25195.90980298413,512,35
26010.982157703584,512,40
26128.278126329726,1024,40
26478.154328506374,1024,50
27530.414365868095,512,50
28308.05499321984,1024,25
28469.754405106945,768,50
29546.57705369696,512,40
29626.04775592215,768,50
30293.612030278367,512,45
30391.184340426626,768,40
30583.269947089488,1024,40
31251.87762480477,512,45
32555.680625661913,512,50
32976.84922444975,768,40
33663.079634242524,512,40
34063.0835555351,1024,45
35472.49707131035,1024,40
36356.26145164024,768,40
36921.34344636143,768,40
38382.83866629195,768,40
38387.8793184804,768,35
38587.130724934425,512,45
38779.53853997957,512,45
39161.44795721777,512,40
40167.79166537614,768,35
40308.28354150072,512,40
40995.32900235243,768,50
41652.802616518726,1024,40
42323.73242611723,768,35
42783.25585808458,1024,40
43022.617517017774,1024,40
43547.46695537536,1024,40
43960.91199676491,768,45
44060.759662252996,1024,35
44721.12377498423,512,45
45019.96011714556,768,40
46162.957678262,768,40
46408.04881625836,768,40
46663.176358952376,1024,45
48065.58654259692,512,40
49130.521334711964,1024,45
49374.59275637906,1024,35
49698.753800011014,1024,35
49775.44111901978,1024,40
50185.49723806061,1024,45
51454.42568026263,1024,35
51970.52536107309,512,35
52921.467431948295,768,30
53134.30640701089,1024,40
53136.15879117909,512,40
53923.86260323237,512,45
54751.475405635625,512,45
55022.76527301894,512,45
55432.688674526995,768,40
55935.27475041539,768,40
56551.307711661204,1024,45
56553.420552119474,768,45
57107.32813558578,768,40
57284.709758409466,512,25
58230.55323327401,768,45
58869.72998842554,512,40
59120.35150786277,1024,40
59415.31689229343,512,40
59776.95533803309,1024,40
60637.873669993736,768,30
61688.055311326585,1024,40
62126.55435713746,1024,40
62619.17765717681,512,40
63352.027080641776,512,35
64075.182803636526,1024,40
64410.19077434812,512,40
64463.38213263361,512,50
65171.406529183754,512,45
65249.79119326893,1024,40
65577.02819868305,512,40
66006.7712744067,768,45
66038.4462628744,768,40
66288.62451479613,1024,35
66755.05516025363,512,40
67225.82435600535,1024,35
67504.74254445119,1024,35
68042.84521327911,1024,35
68048.8644284979,1024,40
68160.10180878824,768,25
68705.75959255111,768,35
68783.78063146566,768,40
69844.42404762824,512,40
70340.30082986742,768,40
70681.08379704821,768,40
71095.36705995673,512,40
72158.58703761993,512,35
72360.24681026302,1024,40
72479.96027862938,512,25
72617.41861926348,512,50
73617.89021230314,768,35
74638.7073961668,512,40
74944.15073261464,1024,45
75348.66722376473,512,40
76526.23774031346,768,40
76680.35678088319,1024,40
76830.67729609198,768,45
76913.5043065103,768,40
77303.85785092537,1024,35
77578.2599141315,512,35
77710.7149567567,768,40
78762.37210361833,1024,50
78878.02498113463,512,35
79201.90665649627,768,40
79232.3751576348,512,40
79945.99102116359,512,45
80039.38129762081,768,40
80890.7920024242,768,45
81004.42139322092,1024,40
81524.39559038891,768,40
82051.7557590877,512,45
82155.04033645311,1024,30
82721.60671165284,512,45
84005.15774880293,512,50
84354.20489147447,768,40
84941.92516950681,768,40
86578.30063993567,768,40
86751.63212335932,768,45
86862.251546072,512,35
87317.66740381469,768,45
87418.52958668675,768,40
87945.95570455292,1024,35
88410.12045906784,512,45
89225.51899940608,512,35
89380.29140608596,1024,45
90011.95599841252,1024,45
90317.94942838536,768,35
90498.45680833283,1024,35
91768.39230621289,768,45
92566.11775882007,768,40
92654.52480313582,768,40
