arrival time(ms),resolution,steps
183.64181020780217,768,35
551.7908995868318,1024,40
851.2516128293607,768,45
954.6466851596755,768,40
1601.1714658658666,768,40
1674.0238517003881,768,40
1802.9684987823464,1024,35
2358.834086552838,1024,40
2406.590387537992,512,40
3016.878528170439,512,35
3726.093451837456,512,35
4870.834197430899,768,40
4961.846044584995,768,50
5121.16576707658,768,40
5267.659749350626,512,45
5482.651095291375,512,40
5516.914973293709,1024,35
5540.878715666844,1024,35
6007.452902465863,1024,40
6065.58798886279,512,40
6235.992203257542,1024,35
6308.3852919330175,512,40
6723.112850743655,512,40
6746.481537274359,512,40
7155.5260676490825,1024,25
7325.470647355614,1024,35
7354.990705407294,512,40
7482.370431909722,1024,40
7485.704144516593,768,45
7522.189506594802,512,45
7893.9689728147205,1024,40
8286.763352923293,1024,50
8889.58621961373,768,40
9476.602516824201,768,35
9929.520385172895,1024,40
10171.09743036527,768,35
10237.831763689655,768,45
10246.649363979031,1024,40
10271.603341626957,512,35
10852.606980437547,1024,30
10986.633509812877,512,35
11241.318230870456,512,40
11629.22014791291,1024,40
11682.682899303281,1024,50
12434.610098954832,512,50
12450.140561389158,1024,25
12461.540981983853,768,50
12564.371371253319,512,40
12642.001067852898,768,50
12837.702130912041,512,45
13525.462240304587,768,40
13717.772725625013,1024,40
13840.644324341525,512,45
14038.773945295028,512,50
15363.997205544425,768,40
15715.372038813779,512,40
15986.41721605584,1024,45
16848.794870005193,1024,40
17774.22747020399,768,40
18484.515463184485,768,40
19214.662628840357,768,40
19255.088601907184,768,35
19597.183420119047,512,45
20451.895942190862,512,45
20682.336494181636,512,40
20936.800758295274,768,35
21263.70679732848,512,40
21521.59699054241,768,50
21924.793026121548,1024,40
22708.277191902733,768,35
22978.334061470658,1024,40
23326.86143353267,1024,40
23645.435640260614,1024,40
23729.887860304083,768,45
23833.894522725044,1024,35
24559.384139475784,512,45
24589.916846101147,768,40
24671.990687794325,768,40
25021.537157336796,768,40
25056.96120867059,1024,45
25092.66232236821,512,40
26490.466308480867,1024,45
26632.86531805132,1024,35
26976.445430319945,1024,35
27175.731069072295,1024,40
27486.020881296583,1024,45
27525.11520434381,1024,35
27537.827299443026,512,35
27546.39757968072,768,30
28276.738506669008,1024,40
28745.58526517586,512,40
28843.165295090006,512,45
29123.005445374016,512,45
29123.678699051132,512,45
29686.6727419337,768,40
30100.94337672717,768,40
30508.370614304582,1024,45
30517.43907425807,768,45
30699.93357758263,768,40
30814.924216680207,512,25
31073.243512912755,768,45
31356.308166296967,512,40
32146.907169096514,1024,40
32187.64359096457,512,40
32238.183919819312,1024,40
32372.949221983483,768,30
32517.44929252095,1024,40
32985.48622942071,1024,40
33124.66044199277,512,40
33301.38009402608,512,35
33587.28024910694,1024,40
33705.649615781454,512,40
33969.56760102731,512,50
34317.837487983765,512,45
34348.22187803472,1024,40
34508.93092389743,512,40
34589.83462578662,768,45
35047.03448628149,768,40
35300.54335671703,1024,35
36354.289642504395,512,40
36873.92842104246,1024,35
36987.95464944361,1024,35
37191.6541907042,1024,35
37248.62509529522,1024,40
38673.98503713039,768,25
39213.75595658783,768,35
39469.97636683163,768,40
39520.780234728474,512,40
39791.332779610384,768,40
40487.715623167824,768,40
40561.49034757351,512,40
40967.381127287306,512,35
41271.282943409344,1024,40
41296.17456028379,512,25
41474.37039992026,512,50
41990.71317827348,768,35
42136.73266220537,512,40
42137.91747205297,1024,45
42164.723355792696,512,40
42484.08118076709,768,40
42906.15926368335,1024,40
42972.11483125239,768,45
43195.676944698935,768,40
43238.26926709645,1024,35
43296.760702224215,512,35
43399.0783655197,768,40
43564.3219002287,1024,50
43736.34250321474,512,35
44313.928907162306,768,40
44375.7597183263,512,40
45114.36420818508,512,45
45137.57129271942,768,40
45166.01019571573,768,45
45230.05222933671,1024,40
45355.626942574025,768,40
45415.65641557873,512,45
45665.88130060251,1024,30
45888.816334411946,512,45
46250.76392745106,512,50
46503.63270475237,768,40
46669.26330731633,768,40
46889.46778117145,768,40
47721.76063646318,768,45
48326.07720174651,512,35
48629.499716924496,768,45
49096.77548596729,768,40
49118.07541622387,1024,35
49495.046351209094,512,45
49520.102568288545,512,35
49602.10645626907,1024,45
50298.18260344354,1024,45
50777.07517142289,768,35
51326.70595718545,1024,35
51862.76039672903,768,45
52001.11410206672,768,40
52918.40019868811,768,40
53304.956659450945,768,40
53329.81969799903,768,40
53529.9980596762,1024,35
54103.52527586346,1024,35
54186.20343105578,768,40
54253.05302775958,768,40
54573.088475404555,768,40
54605.69747274321,768,35
55068.62070890888,512,45
55235.364836696,768,50
55356.869688740444,1024,30
55525.159625964836,512,45
55695.86765461546,768,45
57112.51050528399,768,45
57196.689481588,512,50
57230.221588229884,1024,35
57411.35838039848,512,35
57895.32373060072,512,35
59226.87203911536,1024,45
60534.84529414494,512,35
61448.25084319383,768,40
61622.156825773745,1024,45
61655.578540010734,1024,40
62153.61135832696,1024,45
62936.30825609958,1024,40
63059.227374970855,768,40
63237.29657266371,1024,40
63498.68377449172,512,40
63608.17627756163,1024,45
63863.33999450017,1024,45
64774.64538260483,1024,40
65180.67212146158,768,35
65191.82683032053,512,40
65721.79053662448,768,35
66472.82081565967,512,40
67117.92789844782,768,45
67349.20774383804,512,40
67567.18409017495,768,45
68339.6564387551,512,45
68450.7817815837,768,40
69337.77807128053,768,45
69708.92950677974,1024,40
69785.19734412621,768,30
69905.66577612431,768,30
70264.3662731596,1024,35
70734.27237284102,512,45
