arrival time(ms),resolution,steps
303.29856064482885,1024,35
595.8068638598029,512,40
909.6902299838493,512,45
964.5675744020965,1024,40
1008.8598835454571,512,40
1017.2432207576818,1024,40
1340.7603055670024,1024,35
1444.0917353895245,512,40
1732.8667733605446,1024,40
1780.8236668563648,1024,35
2119.0076867474754,1024,35
2317.628792529901,768,40
2603.5820581229805,1024,50
2623.653511806959,1024,40
2638.5812457568504,512,45
3339.7793175615984,1024,40
4041.0091250738756,1024,35
4698.996784755158,1024,35
5034.760367414995,512,40
5118.883611408552,1024,40
5705.902515298966,1024,35
6066.0878832928365,512,40
6067.137740372865,512,40
6278.848601626586,1024,40
6428.256153585346,768,25
6825.235312099126,1024,35
7153.757342662068,1024,40
7155.860351350984,1024,40
7866.411792512698,768,45
8001.952699882363,1024,45
8131.12122256751,512,40
8292.869341192998,512,50
9013.467297709854,1024,40
9080.537843060314,1024,35
9198.723069641319,768,40
9216.210538179901,1024,35
10325.277140061324,768,45
10564.163821057138,1024,40
10708.875599228924,512,35
12425.353823044094,768,30
12841.23995881412,1024,35
13043.271639719243,768,40
13776.221367998309,512,40
13911.762807266385,768,50
13913.451010468125,768,50
14336.685216304379,512,25
14487.13442253794,1024,50
15003.098389601839,768,40
15164.595738654642,768,50
15388.904970207917,1024,45
15912.609433903794,1024,40
16023.649839058064,768,40
16226.268494614458,1024,45
16569.521950565253,768,50
16730.146074663255,1024,40
16788.707747581913,1024,40
17510.09650828421,1024,45
17839.306739502492,1024,40
17993.416587593205,1024,40
18074.669892186997,1024,40
18140.512209483593,512,40
18319.7309836263,1024,35
18332.90578140569,512,45
18360.6533228145,768,45
19204.51176733602,1024,40
20014.1703796035,768,35
20221.24787219117,512,40
20264.483954475076,512,50
21890.014210440833,1024,40
21998.11011968721,768,35
22866.221447545908,512,40
24271.043354426794,512,40
24286.16236200407,1024,40
25114.25683422916,1024,45
25115.76722207881,1024,35
25297.077498393857,512,45
25514.215427697865,768,40
25597.665428127733,1024,40
25740.084416839334,1024,40
25858.912233421423,1024,45
25907.705129233735,1024,40
26098.094892433834,512,45
26175.189336567655,768,35
26298.482552597525,1024,35
26684.7777594179,768,40
26967.941664112805,512,45
27193.774005027346,512,35
27958.546273289983,1024,35
28235.2436714359,768,30
28880.224534014254,1024,40
29382.045007067747,1024,40
29551.49251783998,768,45
29622.53419744877,512,45
29710.290583768325,1024,45
29783.39860745723,1024,40
29821.896644318487,768,40
30307.792333152913,512,45
31157.822702376543,768,45
31657.386087090923,512,40
31824.044453090675,768,25
32174.444359070072,768,45
32398.629045284793,512,40
32421.037822782368,1024,40
32655.04493490151,1024,40
32915.20955813545,1024,40
33464.89675642157,1024,30
33622.1315005519,1024,40
34145.24414080003,1024,40
34677.366606842435,768,40
34947.50445217392,1024,35
35269.91918285609,1024,40
35604.192432224045,768,40
35920.86228821491,1024,50
36286.74057628734,1024,45
36316.24363033262,768,40
36445.814630504465,1024,40
36643.36907560726,768,45
37300.3498059839,1024,40
37476.538001518544,1024,35
37628.220788493316,1024,40
38912.68097191748,768,35
39467.5185340599,512,35
39653.04027415028,768,35
39884.91910979786,1024,40
40006.538676355965,512,25
40050.34988002373,768,35
41577.28035181648,1024,40
42078.31008317028,1024,40
42170.41589367408,1024,40
43336.156308679754,1024,40
43482.95392350863,512,40
43871.99647347525,1024,35
44005.181586402905,1024,40
44076.93437448675,768,25
44509.852767021635,1024,50
45085.15309012622,512,35
46245.891195524775,1024,40
46312.94509219699,1024,45
46575.65871100134,1024,40
46702.83302650433,512,40
47084.52304651645,1024,40
47253.15462081435,1024,45
47488.135668471885,1024,40
47791.96362532454,512,35
48625.612742178186,768,35
49046.53774913024,1024,40
49048.279917824926,1024,50
49270.81867610365,768,35
49478.659852230056,768,40
49741.91615234234,1024,40
51129.0649203849,768,45
51347.19431030533,1024,40
51493.103656834595,512,45
51563.671014874766,512,40
51696.02751773786,768,40
52307.227490251076,1024,45
52339.03364709616,1024,30
52526.87649303878,768,45
53033.19881063908,512,50
53041.25495695077,1024,40
53458.574211861654,768,40
54086.55730357308,1024,40
54352.43745497269,1024,45
55019.2521470564,768,35
55157.62762778582,1024,45
55252.584497859956,768,40
55307.29636490504,768,35
55801.98056992088,768,45
56055.00481280693,768,35
56511.226498074,1024,45
56666.10461163502,1024,45
56704.89282980745,512,35
56855.45893239133,1024,35
57438.85680248653,512,45
57706.40537495126,512,40
57767.641176736965,1024,40
57924.992821373235,1024,40
58011.11671145379,512,40
58330.162488173984,1024,35
58743.02396755415,1024,35
59095.600947426,1024,40
59215.09198575504,768,40
59354.12530143088,768,40
59386.377444321486,1024,35
59854.52556318787,1024,45
59904.29244770919,1024,50
60116.040597196494,1024,30
60264.71312423294,1024,45
60589.63958018899,768,45
60602.629325969385,1024,45
61113.579444851835,1024,50
61235.7729294272,1024,35
61253.58995814076,768,35
61397.323141394474,1024,35
61594.86332952095,768,45
63090.92054467149,1024,35
63130.482060942144,1024,40
63189.53017935437,512,45
63695.778994431625,768,40
63882.528943039375,768,45
64018.68969198921,1024,40
64118.4929018314,1024,40
64951.011845508416,512,40
65049.485012598765,1024,40
65134.555041680615,768,45
65315.66485235966,1024,45
65344.669638085565,1024,40
65848.52768616103,1024,35
66379.8000059541,768,40
67440.94538486439,1024,35
67918.5428083428,768,40
68237.09180007689,1024,45
68431.73824337254,512,40
68526.65839415813,1024,45
69011.11725933047,768,45
69073.43926574777,1024,40
69206.23385732653,1024,45
69853.32626295494,512,40
69912.70915589553,512,30
69984.21606054058,1024,30
70089.77467708678,1024,35
70987.6199624279,512,45
71336.06752799959,1024,45
71431.81264587126,1024,40
71863.57436309075,768,45
71941.80585663566,1024,40
72484.75497489054,512,40
72507.16507144626,1024,35
72605.91658729156,1024,40
72661.68081936812,512,40
72923.38319771804,768,35
72927.1887617512,1024,45
73124.44683576639,768,40
73925.55718323692,768,40
74194.01780449014,1024,40
74811.44718899888,1024,40
74979.93377591678,768,45
76629.06272012972,768,45
76865.1998487925,512,35
77296.83967892588,1024,40
77589.97133090223,768,40
78109.69271543989,512,35
78334.69992412017,768,40
78443.23351658774,768,40
78655.27211554976,1024,40
79396.73938025138,512,40
79479.31405714725,768,45
79534.03966904909,1024,45
79997.47750760848,512,45
80142.90780731873,1024,25
80220.5541083325,768,45
80230.72184180032,512,45
80416.93745343463,1024,30
80492.06204569332,512,40
80706.15053698937,512,35
81022.93681193677,768,35
81685.1686407014,768,40
81867.2588326791,1024,45
82608.95614329075,512,40
82759.7511679332,1024,45
83402.31848108381,1024,30
83760.88730722704,512,50
84501.21178263707,512,40
84506.8114912822,768,40
84735.48649739196,1024,45
85153.23114263856,1024,35
85292.3237292135,1024,50
85509.1277663441,1024,45
85637.04666678536,1024,45
86177.49812405638,1024,40
86480.21931274504,1024,40
86663.0271216016,1024,40
86906.70971940424,768,40
86947.54399618042,768,45
86994.33259090081,1024,45
87113.87551651963,512,40
87364.33527084674,512,40
87860.36272165203,1024,40
87962.14274723247,1024,40
88125.23604453236,1024,40
88859.07035036216,1024,50
89010.51486755148,1024,40
89100.24341925388,1024,35
89517.69837525146,1024,45
89671.92319148702,768,35
89804.75849171716,768,40
89812.5744113582,1024,45
89959.01583300086,1024,45
89999.13492177012,1024,40
91036.47224407268,1024,40
91173.79936004829,768,45
91947.49464809117,1024,35
92206.43513608635,768,40
92297.80319698177,1024,40
92392.09000534938,512,35
92802.89206962223,1024,50
93374.03447189686,512,50
93582.65266088648,1024,45
95234.6115658166,1024,45
96214.05005368679,512,25
96530.42608059481,1024,40
96919.46219717467,768,30
97101.10243216493,1024,40
97369.26158199919,1024,40
97499.03496677522,1024,35
97573.36303174958,1024,45
98427.1968563611,512,50
98465.9369187661,1024,45
98693.75989466097,1024,40
98695.14733423457,512,40
99607.46910472785,512,45
99970.2738536212,768,40
100241.277867141,1024,50
100262.93130472914,1024,35
101403.30947547467,768,45
101707.45181079807,1024,40
102031.60448706333,1024,40
102055.32453963204,1024,45
102115.84994561186,768,45
102554.09586530895,768,45
102882.83632353242,1024,40
103388.97671602799,512,40
104099.71851913235,1024,30
104279.87829029352,1024,40
104761.5084966674,1024,35
105180.96472994305,768,50
105474.20211964211,768,35
105609.83626502186,768,40
106107.06484897812,512,30
106245.44760705088,512,25
106275.49342107712,512,35
106368.9379307571,768,40
106557.26190441764,768,35
106593.53476799675,1024,45
106725.89674125917,1024,40
107000.06678227831,1024,40
107174.21410115916,768,35
107321.49613712012,1024,40
107495.45896730619,512,40
107575.47396216486,768,40
108345.47902260683,1024,45
108527.59216440124,1024,40
109080.55019470864,1024,45
109382.21343371541,512,40
110008.78330987426,1024,40
110206.62828696218,768,30
110299.7587130291,768,35
110326.51408967377,768,40
110982.15595013527,512,25
111002.38027312791,1024,40
111140.65784751042,1024,40
111184.40912393115,1024,45
111371.74690594077,768,40
112046.76003402063,512,35
112486.6532377644,1024,40
112783.1812193012,1024,40
112829.3860907807,512,40
112840.27229591786,512,35
113243.74115719814,768,50
114773.49471164015,768,50
115394.07545050286,512,30
116211.48430867621,1024,30
116959.80136850427,1024,40
117047.58137133483,768,40
117098.22648790304,768,45
117198.94704727687,1024,40
117250.44774060395,1024,45
117627.22506067078,1024,35
117760.65903775499,512,45
117881.07216200627,512,45
117903.25458035822,768,30
118475.74436002348,512,45
118638.64249965723,512,30
119775.42818319368,768,40
120142.33713891344,1024,45
120345.37993379847,768,40
120859.13057177517,1024,40
120920.94681633815,1024,45
122451.57142790414,512,40
122835.33289412764,768,35
123973.76642788925,512,45
124131.34613901509,1024,40
124319.62621934059,768,30
124354.90552924931,1024,40
124632.5892552659,1024,45
124837.97872234118,1024,40
124865.68621754776,1024,25
124873.3898065094,1024,40
125431.26020520591,512,50
125666.26699205705,768,25
126229.64418828784,512,35
126255.83652213731,1024,35
126721.02599937705,512,45
126721.43354882715,1024,35
126758.03444670516,512,35
126846.41452433717,1024,35
126905.59476633574,768,35
127153.0393982691,512,40
