arrival time(ms),resolution,steps
13.1280333214619,768,35
32.396850548347345,1024,40
195.83249697644519,1024,45
274.3333697556224,768,40
345.41912245435276,1024,40
492.03873439044906,768,40
799.4155695743881,768,35
815.3173334006747,1024,40
861.677861583936,768,40
947.0727993391191,768,35
971.0534308001911,768,35
1052.352983504671,512,40
1057.3659549286215,768,50
1065.9372686555996,768,40
1256.4153702894944,1024,45
1323.1799339308911,768,40
1355.925682341518,768,35
1523.9792703885464,768,35
1716.8545009929348,1024,40
2105.7129937777286,768,40
2393.322117200124,768,35
2442.643902214457,1024,40
2604.8293075338192,1024,40
2766.757331820354,768,40
2892.5822980739676,512,25
2918.8223884368385,768,35
3015.5049315096167,768,40
3303.3269915242167,768,40
3411.122008128591,512,45
3483.412228885388,768,45
3587.826881900437,1024,40
3827.3138820563872,1024,50
3974.0354901603546,768,40
3992.6130628863802,768,35
4025.503952527383,512,40
4066.4847824906196,768,35
4111.268690587807,512,45
4384.214677188179,768,40
4719.669427760397,1024,35
4724.992999929493,512,30
4738.730715925452,768,35
5037.00894936595,512,40
5168.381597490952,1024,40
5226.86647378985,512,50
5276.409819686368,512,50
5405.010901521501,1024,25
5481.045383072046,768,50
5528.713715758329,512,40
5543.542620987584,512,50
5558.970200363263,768,45
5600.367080964151,768,40
5737.137545317049,512,40
5783.0150227096465,768,45
5847.989888363274,512,50
5894.594339825944,768,40
6070.459341042116,768,40
6247.389214744844,768,45
6335.948676259973,768,40
6561.7248422014945,768,40
6623.49413427091,768,40
6652.872656069246,1024,40
6798.190732555528,768,35
6889.640954137149,1024,45
6890.124978528283,512,45
7039.133023728359,768,40
7140.091454189106,512,35
7157.858496027837,1024,40
7209.359033226249,1024,50
7218.393774513975,768,40
7449.32096243951,512,35
7653.8268719468715,1024,40
7657.4161736603555,1024,40
7743.718300184951,768,40
7765.895358576546,768,45
7865.445714139197,768,35
7892.510803730451,1024,45
8086.7997372732425,512,40
8120.797247287785,768,40
8145.682349901154,768,40
8308.965746580503,768,45
8458.270252061273,768,40
8836.191552549024,1024,45
9121.434818348582,512,35
9230.34506101141,768,35
9293.969524901258,512,40
9320.353581159678,1024,45
9593.635346954394,1024,35
9688.93736205085,768,35
9757.6193444403,512,30
9807.866575033402,768,40
9843.38677880817,768,40
9850.960563616032,512,45
9966.388029782483,1024,45
9985.92047250823,768,45
10070.804223598854,768,40
10150.039325892929,512,40
10243.6674264105,1024,45
10286.265003303039,512,45
10358.63058944639,1024,40
10382.005023126518,512,25
10470.778439997488,512,45
10552.351571257619,1024,40
10650.369895975742,768,40
10904.473330104009,768,40
11043.12913572362,768,40
11183.576962808247,768,30
11330.636295544471,768,40
11348.945118522282,768,40
11506.346909563501,512,40
11645.83322299589,768,35
11733.476502849104,768,40
11839.101638568296,512,40
12346.623548110103,768,50
12622.401636262843,768,45
12625.487039693719,512,40
12628.062214656318,768,40
12650.933370838082,512,45
12718.232864103566,768,40
12866.929510919857,768,35
12967.299481041166,768,40
13014.45280778814,512,35
13044.663878730094,1024,35
13095.286393568402,512,35
13194.3939368653,768,40
13221.102666943161,1024,25
13507.5520249549,512,35
13572.345758673979,768,40
13866.513435621093,768,40
14105.008234793473,768,40
14187.467121273734,768,40
14221.7044972855,1024,40
14225.145838855351,768,35
14277.794879926842,768,40
14345.298821415672,512,25
14367.302831901898,768,50
14419.495707505366,1024,35
14687.784428285351,768,40
14807.160085451103,768,45
14911.445851428822,768,40
15145.803174760651,1024,40
15202.870062116473,768,40
15397.253900434713,768,45
15440.563478409762,768,40
15497.901974569691,1024,35
15581.739333775808,512,35
15749.733428145279,768,40
15826.987430948446,768,50
16392.034045936896,512,35
16462.316107464023,512,40
16677.354945073974,768,40
16686.62210794506,512,45
16698.75279309865,768,40
16812.244066120216,1024,45
16883.1652773614,1024,40
17126.251535516898,512,40
17175.82327801578,768,45
17192.237122033675,768,30
17374.249732542256,512,45
17447.968268867124,1024,50
17475.43792480649,768,40
17556.80640891746,512,40
17710.64997649273,768,40
17836.39255430582,768,45
17843.160714877013,512,35
18328.395075330613,768,45
18364.659442030927,512,40
18407.418735409407,512,35
18419.147361954052,512,45
18452.37854239483,512,35
18722.43131869648,768,45
18784.910953694223,768,45
18920.58784017405,1024,35
19014.879890422897,768,35
19348.1431742491,1024,45
19600.08040029411,1024,40
19784.85169591515,768,40
19785.8131740352,768,40
19854.48385266195,1024,40
19944.75403867946,768,35
20010.91785435086,768,35
20161.673790320005,768,40
20198.25701257187,512,40
20420.4856395708,512,40
20686.30801605332,768,35
20881.60361499619,768,45
20937.469223318185,768,50
20963.46436063152,768,30
20965.389214304134,768,45
21159.8135629022,512,45
21374.141087723125,768,45
21867.910069048477,768,50
21898.524680852475,768,35
22040.76065337844,512,35
22223.0708826613,768,35
22236.851845465517,512,45
22411.55489007504,768,35
22456.846474443882,768,40
22684.009873952786,1024,45
22757.423006769437,512,40
22789.839690339933,512,45
22801.354006954367,768,40
22827.331840119143,768,40
23233.240420879003,1024,40
23352.803217998244,768,40
23404.013270929594,512,45
23457.994780416855,768,45
23536.03451428758,768,40
23627.928440646436,768,35
23753.364938309514,512,40
23957.334071722205,768,35
24019.98015038403,512,40
24076.465896783026,768,45
24161.16762907813,1024,40
24285.722521557123,768,45
24304.11780719222,512,45
24738.552665176667,768,40
24864.71065625464,768,45
24873.850016370736,1024,40
24917.483356326466,1024,30
24928.215355112035,768,30
25003.15400101923,768,35
25073.679851649376,1024,45
25218.10829981283,768,45
25330.587515083043,768,40
25355.971512124215,512,45
25356.286697899144,768,40
25441.272534507058,1024,40
25481.76697729227,768,35
25548.39406620299,768,40
25578.382498983137,1024,40
25644.67297540922,512,35
25965.24600690115,768,45
26443.361090174738,512,40
26602.61907772018,512,40
26688.409135702463,768,40
26990.090338838127,768,40
27032.289105794836,512,45
27158.424920531426,512,45
27252.603694678513,1024,35
27265.418084346267,768,40
27696.078345581842,512,40
