arrival time(ms),resolution,steps
21.59323717389884,512,35
27.509726316500295,1024,40
142.07493829466242,1024,45
194.3449931178863,512,40
212.1535687876258,1024,40
238.7171316368868,512,40
319.8332440230433,512,35
353.6909912308125,1024,40
412.3630701984677,512,40
496.5779682067511,512,35
608.5467777201206,512,35
814.2153662408269,768,40
914.5375206005112,512,50
975.2903639323491,512,40
1354.5435533439984,1024,45
1541.0981356087375,512,40
1594.1666277851252,512,35
1596.2473449338179,512,35
1869.240025796165,1024,40
1929.035855741367,512,40
2099.3442489990375,512,35
2143.356914703712,1024,40
2210.1927783945166,1024,40
2243.6067572189295,512,40
2313.434298445942,768,25
2351.499341246786,512,35
2456.3768157459886,512,40
2460.080872891007,512,40
2756.2466438216784,768,45
2792.442794079737,512,45
2794.6851667698643,1024,40
2939.7194431637895,1024,50
3052.184774046993,512,40
3138.775628064582,512,35
3224.110296977962,768,40
3431.1956469973875,512,35
3458.447704568564,768,45
3477.1231706606973,512,40
3486.304880992998,1024,35
3626.1170084241667,768,30
3843.8925732118605,512,35
3878.8029119460584,768,40
4003.61107795836,1024,40
4121.365455386637,768,50
4165.225632135576,768,50
4313.15481550059,1024,25
4403.505204737136,512,50
4420.7727843430475,768,40
4436.857571159703,768,50
4520.926280166791,512,45
4541.940388631974,512,40
4591.882856266831,768,40
4735.080151998402,512,45
4923.785791623404,768,50
5071.007144638408,512,40
5074.28715550438,512,40
5405.61853502876,512,45
5560.415962599914,512,40
5595.026869271611,512,40
5820.386395665917,512,40
6136.463276898457,1024,40
6246.602427221821,512,35
6304.733577189319,1024,45
6351.009047995129,768,45
6563.137122223384,512,40
6669.225037675908,768,35
6731.7404954549775,1024,40
7027.485798788615,1024,50
7165.309327724171,512,40
7192.720983915106,768,35
7270.87545917562,1024,40
7284.892376689992,1024,40
7554.824245122127,512,40
7754.688159837177,512,45
7767.601512287213,512,35
8038.167121963202,1024,45
8254.342768919645,768,40
8299.97405516698,512,40
8382.310951269812,512,40
8475.92026445099,512,45
8590.316086645977,512,40
8676.124868218769,1024,45
8693.365465301456,768,35
8752.970485923635,512,35
8940.939776277244,768,40
9072.787880107098,1024,45
9209.085002466514,1024,35
9361.584005386727,512,35
9393.06172604667,768,30
9615.279512522744,512,40
9996.672040829657,512,40
10052.938610626084,768,45
10255.929249164734,1024,45
10372.569176330702,512,45
10557.733730830427,512,40
10596.730900984048,768,40
10759.477431482543,1024,45
10886.588773037167,768,45
11128.888776535556,1024,40
11386.899396683282,768,25
11472.394519582354,768,45
11499.69572722726,1024,40
11756.746038101966,512,40
11973.950588125326,512,40
11993.168492525181,512,40
12199.331001612949,512,30
12214.938782476876,512,40
12303.32401436624,512,40
12444.255381466917,768,40
12558.718280997758,512,35
12570.041704926125,512,40
12709.722411312592,768,40
12796.937106282843,512,50
12866.90863410429,512,45
13032.925757792544,768,40
13165.69794525002,512,40
13302.183254794494,768,45
13347.211353225097,512,40
13409.749029549168,512,35
13419.4929055672,512,40
13501.09353396202,768,35
13732.452516344716,1024,35
13774.074220428096,768,35
13836.101421421346,512,40
13876.195713661988,1024,25
14176.545515483655,768,35
14490.129351530679,512,40
14605.902898879192,512,40
14677.151540844323,512,40
14731.578115322027,512,40
14836.52437367064,1024,40
14850.127042938322,512,35
14880.621873596094,512,40
14936.181843395227,768,25
15004.492844242122,512,50
15095.756138768236,1024,35
15231.68808830802,512,40
15361.127421276353,512,45
15379.748494440195,512,40
15404.745883241496,1024,40
15582.147266579708,512,40
15881.666958790853,512,45
16115.632577937839,512,40
16128.275542156378,1024,35
16426.48555321641,768,35
16540.6700870035,512,40
16563.168860374866,512,50
16633.510032138238,768,35
16693.531357061183,768,40
16939.505042353034,512,40
17070.74378272526,768,45
17188.617035535484,512,40
17224.85355028701,1024,45
17314.6071393927,1024,40
17399.115461242287,768,40
17409.67912405185,512,45
17482.146476636706,512,30
17677.027614990515,768,45
17776.939164374595,1024,50
17931.726895343567,512,40
18005.79042706262,768,40
18272.596015184794,512,40
18322.435208747196,512,45
18541.57103261075,768,35
18590.963632829833,512,45
18721.232555974828,768,40
18962.97217369533,768,35
19015.91778900858,768,45
19328.783147435148,768,35
19404.06555909453,512,45
19499.166667873636,512,45
19606.183385875447,1024,35
19606.68268165381,512,35
20029.49044644774,1024,45
20109.680019956526,1024,40
20147.659526616902,512,40
20221.468708186014,512,40
20365.240955351685,1024,40
20367.639233755,512,35
20431.723976344547,512,35
20498.074199182316,512,40
20537.590334128658,768,40
20703.350852231568,768,40
20738.770130389792,512,35
20770.848348084095,512,45
20853.666827721278,512,50
20858.841474682144,512,30
21061.74221855793,512,45
21248.14068688542,768,45
21383.667082225627,512,45
21436.503733323643,512,50
21444.202482414792,512,35
21628.61357507467,768,35
21666.086423172666,512,35
21667.26712007636,768,45
21717.141782330153,512,35
21859.48746789764,512,40
22060.437177659824,1024,45
22108.193845432528,768,40
22112.676579398663,768,45
22193.907635692307,512,40
22243.79869404978,512,40
22315.55052288087,1024,40
22372.101525632115,512,40
22453.85862537047,768,45
22459.455441488084,512,45
22652.911174847417,512,40
22731.184905215745,512,35
22747.988056643375,768,40
22764.635924884034,512,35
23038.672552853364,768,40
23121.1304954026,512,45
23125.503791041847,1024,40
23332.55390445462,512,45
23334.433595253773,768,45
23380.44213404395,512,40
23407.110062178082,512,45
23588.22946727927,1024,40
23590.153957552004,1024,30
23599.762961046734,512,30
23859.955858180914,512,35
23872.279626608855,1024,45
23942.553860315973,512,45
23975.755010181332,512,40
24110.987779561216,768,45
24238.602589817972,512,40
24264.12817412808,1024,40
24406.791870171663,512,35
24663.440986615,512,40
24824.46695111217,1024,40
24896.242258674964,768,35
24954.275802193282,512,45
25134.281455326538,768,40
25237.176004688576,768,40
25288.28268098006,512,40
25292.059655522855,512,40
25522.51850188345,768,45
25605.167793581677,768,45
25852.871818205436,1024,35
25875.718647579582,512,40
26018.78608706699,768,40
26075.649501293257,1024,35
26153.939166613847,768,40
26182.088445048605,768,40
26240.69437903253,512,40
26243.23155194602,1024,40
26291.408072206224,768,45
26595.66309988618,512,45
26595.742890748454,1024,45
26715.044749174558,512,25
26780.63982455837,768,45
26860.609642405747,1024,45
26993.704374209156,512,30
26997.586424614743,1024,40
27109.143855589613,1024,35
27775.50948285284,768,35
27923.591727366347,768,40
28010.90980312574,512,45
28049.63147878101,1024,40
28089.20605506034,512,45
28183.23752115409,512,30
28282.748560354245,1024,50
28398.07542278007,1024,40
28403.94373598327,768,40
28564.775773130994,512,45
28743.427221421745,512,35
28805.67073617871,512,50
28925.625262118763,512,45
29400.383336341474,512,45
29504.821836930965,512,40
29539.331208022668,512,40
29910.708540851407,512,40
29994.315294777352,768,40
30042.029217586234,768,45
30090.661811061316,512,45
30137.02127796113,1024,40
30399.8467669151,1024,40
30463.605840345866,512,40
30694.32469588629,512,40
30907.27682526649,512,40
31202.06607907029,512,50
31212.89829920352,512,40
31244.49770927352,512,35
31283.484927361565,512,45
31332.194260363878,768,35
31401.285947247896,768,40
31453.5962307576,512,45
31628.22394386278,512,45
31638.38781198667,512,40
31989.008200551427,512,40
32004.436535232566,768,45
32204.14079910577,512,35
32346.319122108434,768,40
32470.980980088923,512,40
32694.649794413337,1024,35
32971.33980795877,512,50
33081.912447128816,1024,50
33099.64129677025,512,45
33257.32896003284,512,45
33274.654148514965,1024,25
33367.15042521034,512,40
33484.5721906985,768,30
33578.91931767642,512,40
33595.93632023377,512,40
34056.654516946044,512,35
34222.42364968078,512,45
34257.19404098863,1024,50
34411.70415471,512,45
34570.03414910411,512,40
34656.64631020821,1024,40
34684.90330979326,1024,45
34767.13064881238,768,40
35144.47553961494,512,50
35154.678934600954,512,35
35179.30586423958,768,45
35388.557484952624,512,40
35474.60746785289,512,40
35498.644659047364,512,45
35603.5857243337,768,45
35761.34098315735,768,45
35894.6694293064,512,40
36082.658375560175,1024,40
36186.524963452335,512,30
36385.05514566765,512,40
36409.42339839474,512,35
36477.582602618,768,50
36614.86029050005,768,35
36686.17913305435,768,40
36701.792388233924,1024,30
36750.44351067975,1024,25
36798.99362037604,1024,35
36802.90051503281,768,40
36938.98014240123,768,35
37099.70778106445,512,45
37476.2648465254,512,40
37533.75465207247,512,40
37651.26878757156,768,35
37792.74488034463,512,40
37798.15652501604,1024,40
38284.47000800515,768,40
38306.507841330735,512,45
38332.65899408843,512,40
38404.42381828495,512,45
38497.69940811448,1024,40
38602.268723657486,512,40
38602.47043261005,768,30
38825.103915649066,768,35
38911.876062869735,768,40
38919.37938279207,1024,25
38923.262623707895,512,40
38989.99438638923,512,40
39035.67371453951,512,45
39380.812847748806,768,40
39404.25746690855,1024,35
39451.51893437687,512,40
39580.236216059086,512,40
39596.4100315542,1024,40
39611.95710397814,1024,35
39884.08066912136,768,50
39913.54690652243,768,50
40015.04179866036,1024,30
40144.353437453916,512,30
40223.513438625974,512,40
40560.150470555076,768,40
40621.52941222986,768,45
40623.02524234257,512,40
40628.235419353274,512,45
40638.37995107233,512,35
40712.76483471075,1024,45
40911.99613405082,1024,45
41280.197570080956,768,30
41400.32398678598,1024,45
41416.39032950733,1024,30
41636.66483966946,768,40
41723.54521551961,512,45
42007.083969584215,768,40
42024.147597621835,512,40
42751.66786817202,512,45
42857.65114532549,1024,40
43026.55309127868,768,35
43076.395048664635,1024,45
43134.266102029644,512,40
43221.21131480912,768,30
43259.29431662327,512,40
43477.93037993163,512,45
43576.661523685674,512,40
43617.06975520047,512,25
43650.05188072658,512,40
43874.836604366705,1024,50
43949.08036629881,768,25
43995.17002728561,1024,35
44113.13664758479,512,35
44149.40406042271,1024,45
44163.16492617721,512,35
44245.84512196771,1024,35
44266.25824948146,512,35
44378.79657153145,768,35
44395.507791244745,1024,40
44520.345683353386,512,35
44733.071567587875,512,40
44739.341249933444,512,40
44781.0636564425,512,35
44843.74306213532,512,40
44973.100199669534,768,40
45055.41647306037,1024,40
45186.86185870278,768,45
45229.39341601102,512,45
45330.63644467928,768,30
45344.705888576456,768,40
45410.132914520254,512,50
45420.53710392966,768,35
45576.03312284705,512,40
45718.34880245323,768,40
45840.08558230314,512,40
45868.22422798349,512,45
46075.75735809753,1024,50
46079.12099228933,1024,40
46158.0072653019,1024,40
46204.03180636484,512,30
46227.33387571279,1024,45
46227.43812657346,768,40
46365.73031789925,512,45
46409.097294667,512,40
46748.959520634286,1024,40
46973.71770210938,768,40
47063.266028861246,768,40
47198.60964809473,768,25
47237.52948843839,768,40
47384.94824079081,1024,40
47387.49509026848,512,40
47455.488310434805,768,45
47553.44953687906,512,30
47818.95603237902,512,40
47916.23142046206,768,45
48024.63489458887,512,40
48083.431814314456,768,40
48091.63585682853,512,40
48095.60380246749,512,40
48130.08001155598,1024,40
48586.362796998765,768,35
48625.606015551726,768,45
48820.50006099471,1024,40
48887.17638277479,512,40
48890.00670737043,1024,40
49452.64714615966,1024,30
49484.30413422845,512,45
49699.09718787936,768,30
49761.72243315965,512,30
49854.29177604333,1024,40
49896.48739748626,1024,40
50143.27149587824,768,35
50194.118146842055,768,35
50360.52630969102,768,30
50425.632127652454,1024,40
50573.0114474261,512,45
51048.587271357435,1024,35
51073.14242970287,768,45
51077.69235097267,512,45
51234.29101849242,768,40
51254.702135952444,1024,40
51364.491504467245,1024,40
51411.0508103555,512,35
51425.673368076714,512,40
51451.05676148472,512,35
51473.290317046296,512,40
51781.31230254519,512,45
51926.50580637744,768,45
52071.297392801396,512,40
52080.64858793559,768,40
52086.97039103513,512,40
52275.95927819934,1024,40
52708.65756288726,512,40
52847.60852193849,1024,35
52923.13269897189,1024,40
52924.32667837972,768,45
53052.2446599095,1024,45
53206.48881316936,1024,40
53269.96290797745,1024,45
53516.78067429263,512,30
53568.571801743696,1024,40
53748.74467166883,512,40
54146.379086626825,768,35
54375.01211918786,1024,35
54395.375295289814,1024,45
54532.09792471207,512,40
54538.38959622486,768,45
54970.18417261173,1024,40
55175.821587504615,1024,50
55281.0406696021,768,45
55299.34112065811,1024,40
55336.52363519338,1024,40
55596.75325060413,512,45
55641.220701955295,1024,40
55696.06142674436,512,40
55810.32296394866,768,35
55828.71997956055,512,40
55854.37728062322,512,35
55970.80087609306,1024,40
56108.52086116796,1024,40
56176.61324878819,512,30
56208.186178855685,1024,35
56343.0934965835,512,40
56357.18151345268,1024,45
56444.77040945671,512,40
56449.36416765154,768,40
56472.331695833134,768,40
56472.791816334066,1024,35
56476.3751099034,768,40
56722.47207537052,1024,40
56748.38665920147,512,35
56890.354691833534,512,35
57160.69108376463,512,40
57363.21843053282,512,50
57391.361116479275,1024,40
57545.54821343733,512,45
57707.29979367265,512,40
57826.076033665355,768,35
57888.8911849294,1024,35
57936.92152177911,512,40
58000.59854080865,1024,40
58049.1492614989,512,35
58159.85732456617,768,40
58259.98543323055,512,40
58372.586131196564,768,40
58701.00485340675,512,25
58760.62183880403,512,35
59113.481341505416,768,40
59160.48073232996,512,40
59208.0334588381,512,45
59336.97850028209,512,45
59483.728375881066,512,40
59576.45726666682,768,50
59790.60125377071,768,40
59829.21372796008,512,35
59926.13220182205,512,40
59962.65510517608,512,35
60066.55307024735,1024,45
60314.060997099055,512,40
60340.57377733566,768,35
60507.77534750506,512,30
60843.075565499,768,35
60920.51935120938,512,40
61016.961893849315,512,40
61214.14700615097,512,50
61261.36045358252,1024,50
61579.35727774012,768,25
61622.205893827595,512,50
62042.53200859457,512,40
62134.440873069936,512,50
62196.80587518071,768,45
62202.303974289374,1024,40
62476.51571456578,1024,40
62526.280142335934,512,45
62740.95128493024,512,50
62768.29593544147,1024,40
62865.120496492775,512,40
62882.10121208909,768,45
63065.527793439265,512,40
63065.54184996635,512,40
63411.104238184926,512,40
63484.94313256871,512,40
63488.62511511942,1024,35
63704.3240965223,1024,45
63712.198779345425,1024,45
63712.51364876541,512,40
63780.8664661068,512,35
63851.289207013746,1024,40
64001.810276969634,512,50
64140.80338314645,512,40
64220.891582012155,1024,35
64246.86113615191,512,40
64356.58128086165,512,40
64401.64393719898,512,40
64404.14666464108,512,45
64405.249356456,768,35
64505.835338163124,1024,45
64506.76975888598,512,40
64510.29865003946,512,40
64559.13470964831,768,40
64670.516846986575,512,45
64675.40677044712,512,40
64721.49100032023,1024,45
64724.3995478203,1024,35
64888.69899372201,1024,35
65008.67389944919,512,40
65177.38887201583,512,45
65415.08566333745,512,35
65438.50354134811,1024,35
65449.635637460604,512,30
65584.4472705977,512,40
65623.2675158512,512,40
65710.91060806696,512,45
65739.52964866313,512,45
65814.92730806896,512,45
65822.89720029959,768,40
66378.60754935951,512,40
66390.47372396446,1024,45
66443.8148107589,768,45
66720.8126957073,768,40
66796.31838058055,512,25
66961.64402921173,1024,45
67193.0412606278,1024,40
67232.7153361884,1024,40
67257.64129421789,1024,40
67463.51555182479,512,40
67797.2794690349,768,30
67878.72418266807,512,40
68055.97738367289,512,40
68186.91921414885,512,40
68226.60928741893,512,35
68258.8876976027,512,40
68526.8870329107,512,40
68581.07796477694,512,50
68592.22751461029,1024,45
68643.77691496682,512,40
68832.48721550108,768,40
68885.11736930924,512,45
68949.44255809278,1024,40
69185.03357927727,768,35
69445.14148667784,512,40
69611.21369521151,1024,35
69621.04370728455,768,35
69641.6159257278,1024,35
70043.07741382322,512,40
70066.75358865879,768,25
70296.53282363023,1024,35
70434.18777088849,1024,40
70437.20623859414,512,40
70481.34065365462,1024,40
70837.41965207305,512,40
70880.7408510973,512,40
71016.46528685377,512,35
71057.01197806597,512,40
71225.79786252882,512,25
71233.70304006018,1024,50
71298.50038199952,768,35
71362.35726086094,768,40
71670.87561759092,1024,45
71724.8213453445,768,40
71753.3248918316,1024,40
71788.6171311421,1024,40
71919.52646368118,512,45
72097.16751797686,512,40
72324.1824469509,512,35
72334.58503309301,512,35
72433.94066533027,1024,40
72462.3331783826,512,50
72652.97369064085,512,35
72698.46968996176,512,40
72740.35410241845,768,40
73260.11521852136,768,45
73630.93875022657,1024,40
73777.64328339028,1024,45
73902.62029369672,768,40
74029.12421464737,768,40
74040.0293817879,1024,45
74108.32942248104,512,30
74262.53898147683,1024,45
74296.07610345932,1024,50
74404.77150139914,1024,40
74453.38621324327,512,40
74504.62863191997,512,40
74648.10166125886,768,45
74710.02186764707,512,35
74767.45329178823,1024,45
74968.57266332301,768,40
75079.516640574,512,35
75152.8125455506,512,45
75200.96218592906,1024,35
75360.55291470302,1024,45
75372.54294956321,768,45
75383.52818786821,512,35
75756.78116969981,512,35
75823.9049287221,512,45
75831.44415121581,512,40
75869.63676674082,512,40
76049.49307326383,512,40
76073.07074800291,512,40
76083.90486071471,512,35
76106.89029488419,768,35
76155.2369322302,512,40
76283.63072071904,1024,40
76296.32931000163,512,40
76363.41138781201,512,35
76498.93970914723,512,45
76646.29767476754,768,50
76708.71522014585,512,30
76716.04786350127,512,45
76905.93050617531,768,45
77039.89988626241,512,45
77102.64626233945,768,50
77171.729359241,512,35
77926.3931585898,512,35
78005.51162798674,768,35
78266.84891535647,512,45
78459.58177853576,512,35
78620.97330305287,768,40
78853.30771903788,1024,45
78867.24084066611,512,40
79056.44060261903,512,45
79227.85870862147,1024,40
79235.05533215341,512,40
79261.58904269036,768,40
79472.68567292173,768,40
79486.3725388436,512,45
79628.98836126288,512,45
79656.82040351092,768,40
79836.6349624312,512,35
79864.6197541571,1024,40
79999.89940383055,512,35
80133.66057870215,512,40
80181.00082277542,512,45
80212.4661177312,1024,40
80246.38091647917,1024,45
80273.46328104431,512,45
80376.6172924209,512,40
80411.26222649498,512,45
80441.34528959279,1024,40
80672.94205722024,512,30
80799.19756608513,768,30
80915.93973620152,512,35
81106.60335736269,512,45
81169.45089924571,512,45
81301.49388302986,1024,40
81320.36606086399,512,45
81406.63395163002,512,40
81493.03759454521,1024,40
81554.47264773503,512,35
81790.5868371973,512,40
81798.79626545332,1024,40
81838.03563258998,768,35
81871.50344532718,512,45
82036.53019816565,768,40
82051.32426201389,512,40
82093.56105722632,512,40
82154.5518025574,512,40
82177.99022969863,512,45
82312.08840125501,768,45
82504.16867336158,512,35
82761.83368838877,512,40
82793.44982973578,512,40
82829.73766828243,768,35
82877.39801108555,512,40
82888.83124521706,512,40
82910.85535769667,512,40
83110.3608556254,512,40
83142.70436727657,1024,45
83143.12329078687,1024,45
83202.24221079351,768,45
83652.92458135566,1024,25
83825.41074522192,512,45
83870.73331550253,512,45
84275.13748162279,1024,30
84365.52172997926,512,40
84649.85273481562,768,35
84655.31188091672,512,35
84698.6893332019,768,40
84722.43908961662,1024,45
85007.36356111203,1024,40
85215.05296958752,768,45
85235.75101009101,768,30
85323.08591404435,768,50
85391.37911308427,768,40
85420.08214747718,512,40
85593.37164002153,512,45
85626.59186497741,768,35
85693.82467231475,512,50
85699.56663535946,512,45
86008.24291644435,512,45
86012.24399192294,768,40
86093.51861513122,1024,40
86282.66498554543,512,40
86474.3455789469,1024,40
86483.99651906792,768,45
86585.2996789355,768,45
86770.50502446144,768,40
87028.61108043516,1024,40
87052.8343169745,1024,40
87242.97701694611,512,40
87396.94246387405,768,40
87452.21312337376,1024,50
87516.014557178,768,40
87520.67527192185,512,35
87525.31992367448,1024,45
87626.21595956072,512,35
87641.32046319428,512,40
87664.91935372229,512,45
87810.16926778603,512,45
87885.1979443399,768,40
88098.89296498848,1024,40
88354.22952166823,512,45
88481.99682739661,512,35
88482.39394225614,1024,40
88498.84017827571,768,40
88663.2066612679,512,35
88734.71872808211,1024,50
88737.43126158227,512,50
89142.29563492355,512,45
89170.87559282451,512,45
89271.15770021538,1024,25
89408.60823805684,1024,40
89510.51571584454,512,30
89594.76503527943,512,40
89648.98266685022,512,40
89700.39140290715,768,35
