index,success,request_id,resolution,step,delay_time,start_time,end_time,time_consumption,prompt
0,True,51489936620179025555283794644170271332,512,50,2629.8966395640714,2024-05-19 04:10:36.320771,2024-05-19 04:10:41.123572,4.802801,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus metal furniture "
1,True,303944842558562495018792942655952376407,512,50,7605.32469573121,2024-05-19 04:10:41.292995,2024-05-19 04:10:57.084090,15.791095,"accurate portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir realism, extremely detailed, 8 k "
4,True,305109735069165464148815374472666422771,256,50,13291.13013553139,2024-05-19 04:10:46.980621,2024-05-19 04:11:01.942436,14.961815,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
2,True,34368059529237138314723842343200863482,768,50,9588.269545615818,2024-05-19 04:10:43.278311,2024-05-19 04:11:03.106718,19.828407,"sexy jesus christ wearing a robe, digital art by wlop, makoto shinkai and artgem lau "
3,True,280577524007267440822930948902381574832,768,50,12019.304894045476,2024-05-19 04:10:45.710211,2024-05-19 04:11:05.209220,19.499009,"an elegant goddess with luminous hair, flowing lightpainting swirling around her, highly detailed, ultrafine hyperrealistic detailed face, mouth parted, photorealistic, neon rim lighting, reflections, smooth, sharp focus, ultrawide, final fantasy, art by irakli nadar and lindsay adler and dani olivier and michael bosanko and adolphe bouguereau "
6,True,286042358651936018197357200833775621284,512,50,19532.639149943552,2024-05-19 04:10:53.222155,2024-05-19 04:11:09.493040,16.270885,"portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
5,True,281420594364993259676390765861395678043,768,50,17955.404776969848,2024-05-19 04:10:51.648340,2024-05-19 04:11:11.270568,19.622228,"sexy male jesus christ, digital art by wlop, makoto shinkai and artgem lau "
7,True,88684431797045452024438369202625736316,512,50,21691.402739823086,2024-05-19 04:10:55.381897,2024-05-19 04:11:11.514427,16.13253,"dune, directed by alejandro jodorowsky, scifi, surreal, imax 7 0 mm, beautiful, cinematic, epic "
9,True,209953301653177896276636062722491176622,512,50,29346.26766752483,2024-05-19 04:11:03.035508,2024-05-19 04:11:21.259263,18.223755,"portrait of 6 ix 9 ine with facial tattoos as gothic dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
8,True,125526592231243724679625758656993754561,768,50,28028.37245976763,2024-05-19 04:11:01.720693,2024-05-19 04:11:21.592953,19.87226,"wild honey bees demonstrating against earth pollution, realistic bees holding a demonstration sign, bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
10,True,171595914658367230836735606816416353651,768,50,32284.23269715648,2024-05-19 04:11:05.973468,2024-05-19 04:11:25.979701,20.006233,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
13,False,None,512,50,38739.04586323387,2024-05-19 04:11:12.427465,2024-05-19 04:11:27.146648,14.719183,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
11,True,206345465639660685414339867771806857881,512,50,34730.19007421752,2024-05-19 04:11:08.418742,2024-05-19 04:11:27.152484,18.733742,"a werewolf riding in a gondola, 8 k, vacation photo, trending online, award - winning, "
12,True,22884772918788351870895546528364878205,768,50,36200.84469211383,2024-05-19 04:11:09.889496,2024-05-19 04:11:29.119883,19.230387,"ice cream sunday, delicious, glistening, chocolate sauce, marshmallows, highly detailed, super micro, octane render, 8 k, 3 d rendering, close - up view, fill - in light, bokeh "
15,False,None,768,50,44079.00090665434,2024-05-19 04:11:17.769244,2024-05-19 04:11:33.726555,15.957311,"roulette wheel made from pizza "
14,True,229728833080659650988229734189760378252,768,50,41885.388681706434,2024-05-19 04:11:15.576668,2024-05-19 04:11:35.021414,19.444746,"bokeh "
