step_count,timestamp,status,num_scheduled_reqs,num_req_of_256,num_req_of_512,num_req_of_768,step_worker_time_consumption
2,2024-05-19 01:44:51.960999,RequestStatus.EMPTY,0,0,0,0,None
3,2024-05-19 01:44:52.391892,RequestStatus.PREPARE,1,0,0,1,0.41625213623046875
4,2024-05-19 01:44:52.978034,RequestStatus.DENOISING,1,0,0,1,0.5184502601623535
5,2024-05-19 01:44:53.017299,RequestStatus.DENOISING,1,0,0,1,0.0763399600982666
6,2024-05-19 01:44:53.172190,RequestStatus.DENOISING,1,0,0,1,0.05974459648132324
7,2024-05-19 01:44:53.178048,RequestStatus.DENOISING,1,0,0,1,0.07833456993103027
8,2024-05-19 01:44:53.239410,RequestStatus.DENOISING,1,0,0,1,0.06023097038269043
9,2024-05-19 01:44:53.371140,RequestStatus.DENOISING,1,0,0,1,0.05736804008483887
10,2024-05-19 01:44:53.389288,RequestStatus.DENOISING,1,0,0,1,0.08259224891662598
11,2024-05-19 01:44:53.456001,RequestStatus.DENOISING,1,0,0,1,0.06094932556152344
12,2024-05-19 01:44:53.945154,RequestStatus.DENOISING,1,0,0,1,0.1392064094543457
13,2024-05-19 01:44:54.515570,RequestStatus.DENOISING,2,1,0,1,0.43063855171203613
14,2024-05-19 01:44:54.553459,RequestStatus.DENOISING,2,1,0,1,0.16530108451843262
15,2024-05-19 01:44:55.059246,RequestStatus.DENOISING,2,1,0,1,0.19574427604675293
16,2024-05-19 01:44:55.405087,RequestStatus.DENOISING,3,1,1,1,0.2765202522277832
17,2024-05-19 01:44:55.478626,RequestStatus.DENOISING,3,1,1,1,0.13288354873657227
18,2024-05-19 01:44:55.631219,RequestStatus.DENOISING,3,1,1,1,0.1494286060333252
19,2024-05-19 01:44:55.838290,RequestStatus.DENOISING,3,1,1,1,0.10709667205810547
20,2024-05-19 01:44:55.888986,RequestStatus.DENOISING,3,1,1,1,0.13520455360412598
21,2024-05-19 01:44:56.035945,RequestStatus.DENOISING,3,1,1,1,0.13687682151794434
22,2024-05-19 01:44:56.239969,RequestStatus.DENOISING,3,1,1,1,0.10532450675964355
23,2024-05-19 01:44:56.285708,RequestStatus.DENOISING,3,1,1,1,0.13666653633117676
24,2024-05-19 01:44:56.440104,RequestStatus.DENOISING,3,1,1,1,0.12237834930419922
25,2024-05-19 01:44:56.530830,RequestStatus.DENOISING,3,1,1,1,0.11504411697387695
26,2024-05-19 01:44:56.673780,RequestStatus.DENOISING,3,1,1,1,0.13664698600769043
27,2024-05-19 01:44:56.856670,RequestStatus.DENOISING,3,1,1,1,0.12010669708251953
28,2024-05-19 01:44:56.923256,RequestStatus.DENOISING,3,1,1,1,0.12629413604736328
29,2024-05-19 01:44:57.169107,RequestStatus.DENOISING,3,1,1,1,0.2401752471923828
30,2024-05-19 01:44:57.370636,RequestStatus.DENOISING,3,1,1,1,0.18342328071594238
31,2024-05-19 01:44:57.467676,RequestStatus.DENOISING,3,1,1,1,0.10845446586608887
32,2024-05-19 01:44:58.077635,RequestStatus.DENOISING,3,1,1,1,0.23587298393249512
33,2024-05-19 01:44:58.320067,RequestStatus.DENOISING,4,2,1,1,0.27315425872802734
34,2024-05-19 01:44:58.486606,RequestStatus.DENOISING,4,2,1,1,0.14671015739440918
35,2024-05-19 01:44:58.744235,RequestStatus.DENOISING,4,2,1,1,0.11732840538024902
