index,success,request_id,resolution,step,delay_time,start_time,end_time,time_consumption,prompt
0,True,5899588860134747396276473359066341937,512,50,9329.783745822291,2024-05-19 02:22:52.151931,2024-05-19 02:23:34.696930,42.544999,"kodak portra 4 0 0, flashlight, muted colours, 1 9 2 0 s style, long shot, a large large square square picture frame near by a window, vivid photo of a room with concrete walls, tiny gaussian blur, haze, depth of field, 1 9 6 0 s bauhaus metal furniture "
1,True,337174672522652563204041108207946215198,1024,50,14731.17673258184,2024-05-19 02:22:57.548619,2024-05-19 02:23:44.427686,46.879067,"accurate portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir realism, extremely detailed, 8 k "
2,True,232136669272727440858215546293268256131,1024,50,18320.08056160344,2024-05-19 02:23:01.136570,2024-05-19 02:23:44.432299,43.295729,"sexy jesus christ wearing a robe, digital art by wlop, makoto shinkai and artgem lau "
3,True,281796825430881661796823077101673139842,1024,50,26450.3633618284,2024-05-19 02:23:09.271457,2024-05-19 02:23:53.001777,43.73032,"an elegant goddess with luminous hair, flowing lightpainting swirling around her, highly detailed, ultrafine hyperrealistic detailed face, mouth parted, photorealistic, neon rim lighting, reflections, smooth, sharp focus, ultrawide, final fantasy, art by irakli nadar and lindsay adler and dani olivier and michael bosanko and adolphe bouguereau "
4,True,196111327945310049935574241303624260210,768,50,29390.511893143263,2024-05-19 02:23:12.205746,2024-05-19 02:23:55.764368,43.558622,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
5,True,236239195525450098746545587619204983651,768,50,34353.409295338875,2024-05-19 02:23:17.170880,2024-05-19 02:23:59.849747,42.678867,"sexy male jesus christ, digital art by wlop, makoto shinkai and artgem lau "
8,False,None,768,50,55411.90112530368,2024-05-19 02:23:38.228742,2024-05-19 02:24:18.110870,39.882128,"wild honey bees demonstrating against earth pollution, realistic bees holding a demonstration sign, bavarian alpine farmer fields, field flowers, sunset, dramatic angle, hopeless, dynamic pose, mountains in the background, 8 k hdr pixiv dslr photo by makoto shinkai ilya kuvshinov and wojtek fus "
6,True,73619280058101471221224294723835246214,1024,50,42452.351131947966,2024-05-19 02:23:25.274327,2024-05-19 02:24:18.144519,52.870192,"portrait of 6 ix 9 ine with facial tattoos as dc superhero, 9 0 s noir, realism, extremely detailed, 8 k "
7,True,217028913469575265688379108252779174459,1024,50,49830.26417151968,2024-05-19 02:23:32.644137,2024-05-19 02:24:18.148825,45.504688,"dune, directed by alejandro jodorowsky, scifi, surreal, imax 7 0 mm, beautiful, cinematic, epic "
10,True,118559631530281245194636501628281694737,512,50,82127.18905135276,2024-05-19 02:24:04.940244,2024-05-19 02:24:39.186252,34.246008,"portrait of a beautiful host from westworld, painting by daniel sprick and jeremy mann and lucien freud and james jean, cinematic lighting, hyperrealism, high resolution, 4 k "
