step_count,timestamp,status,num_scheduled_reqs,num_req_of_512,num_req_of_768,num_req_of_1024,step_worker_time_consumption
2,2024-05-19 03:07:48.020034,RequestStatus.EMPTY,0,0,0,0,None
3,2024-05-19 03:07:49.760246,RequestStatus.PREPARE,1,0,0,1,1.6423635482788086
4,2024-05-19 03:07:50.294092,RequestStatus.DENOISING,1,0,0,1,0.5940492153167725
5,2024-05-19 03:07:50.488034,RequestStatus.DENOISING,1,0,0,1,0.18394041061401367
6,2024-05-19 03:07:52.604581,RequestStatus.DENOISING,1,0,0,1,0.39908528327941895
7,2024-05-19 03:07:52.872108,RequestStatus.DENOISING,2,1,0,1,0.36064934730529785
8,2024-05-19 03:07:53.112050,RequestStatus.DENOISING,2,1,0,1,0.23139572143554688
9,2024-05-19 03:07:53.442456,RequestStatus.DENOISING,2,1,0,1,0.23412752151489258
10,2024-05-19 03:07:53.657808,RequestStatus.DENOISING,2,1,0,1,0.23943042755126953
11,2024-05-19 03:07:54.009457,RequestStatus.DENOISING,2,1,0,1,0.41568422317504883
12,2024-05-19 03:07:54.385494,RequestStatus.DENOISING,2,1,0,1,0.27896928787231445
13,2024-05-19 03:07:54.631459,RequestStatus.DENOISING,2,1,0,1,0.23500776290893555
14,2024-05-19 03:07:56.440554,RequestStatus.DENOISING,2,1,0,1,0.4000847339630127
15,2024-05-19 03:07:56.957030,RequestStatus.DENOISING,3,2,0,1,0.4872250556945801
16,2024-05-19 03:07:57.236044,RequestStatus.DENOISING,3,2,0,1,0.2901310920715332
17,2024-05-19 03:07:57.600670,RequestStatus.DENOISING,3,2,0,1,0.27033400535583496
18,2024-05-19 03:07:57.812987,RequestStatus.DENOISING,3,2,0,1,0.25855112075805664
19,2024-05-19 03:07:58.021778,RequestStatus.DENOISING,3,2,0,1,0.2549755573272705
20,2024-05-19 03:07:58.268995,RequestStatus.DENOISING,3,2,0,1,0.24264860153198242
21,2024-05-19 03:07:58.621597,RequestStatus.DENOISING,3,2,0,1,0.24991106986999512
22,2024-05-19 03:07:58.815108,RequestStatus.DENOISING,3,2,0,1,0.2562873363494873
23,2024-05-19 03:07:59.045138,RequestStatus.DENOISING,3,2,0,1,0.25751733779907227
24,2024-05-19 03:07:59.300639,RequestStatus.DENOISING,3,2,0,1,0.25004053115844727
25,2024-05-19 03:07:59.753337,RequestStatus.DENOISING,3,2,0,1,0.4133725166320801
26,2024-05-19 03:08:00.021336,RequestStatus.DENOISING,3,2,0,1,0.3032503128051758
27,2024-05-19 03:08:00.268060,RequestStatus.DENOISING,3,2,0,1,0.24572229385375977
28,2024-05-19 03:08:00.617733,RequestStatus.DENOISING,3,2,0,1,0.2521698474884033
29,2024-05-19 03:08:00.830967,RequestStatus.DENOISING,3,2,0,1,0.2543461322784424
30,2024-05-19 03:08:01.048183,RequestStatus.DENOISING,3,2,0,1,0.2528195381164551
31,2024-05-19 03:08:01.294122,RequestStatus.DENOISING,3,2,0,1,0.25389528274536133
32,2024-05-19 03:08:01.541142,RequestStatus.DENOISING,3,2,0,1,0.24571919441223145
33,2024-05-19 03:08:01.877419,RequestStatus.DENOISING,3,2,0,1,0.2611978054046631
34,2024-05-19 03:08:02.079909,RequestStatus.DENOISING,3,2,0,1,0.25646114349365234
35,2024-05-19 03:08:02.322054,RequestStatus.DENOISING,3,2,0,1,0.2514369487762451
36,2024-05-19 03:08:04.437431,RequestStatus.DENOISING,3,2,0,1,0.6176407337188721
37,2024-05-19 03:08:04.878830,RequestStatus.DENOISING,4,2,1,1,0.43441224098205566
38,2024-05-19 03:08:05.174783,RequestStatus.DENOISING,4,2,1,1,0.3590881824493408
39,2024-05-19 03:08:07.310096,RequestStatus.DENOISING,4,2,1,1,0.7439558506011963
40,2024-05-19 03:08:07.866286,RequestStatus.DENOISING,5,2,2,1,0.5034506320953369
41,2024-05-19 03:08:08.519491,RequestStatus.DENOISING,5,2,2,1,0.5872106552124023
42,2024-05-19 03:08:08.996716,RequestStatus.DENOISING,5,2,2,1,0.47161364555358887
43,2024-05-19 03:08:09.440690,RequestStatus.DENOISING,5,2,2,1,0.44547462463378906
44,2024-05-19 03:08:11.430385,RequestStatus.DENOISING,5,2,2,1,0.5521302223205566
45,2024-05-19 03:08:11.997221,RequestStatus.DENOISING,5,2,2,1,0.5042312145233154
46,2024-05-19 03:08:12.402143,RequestStatus.DENOISING,5,2,2,1,0.453904390335083
47,2024-05-19 03:08:12.842143,RequestStatus.DENOISING,5,2,2,1,0.42854857444763184
48,2024-05-19 03:08:15.077225,RequestStatus.DENOISING,5,2,2,1,0.5636992454528809
49,2024-05-19 03:08:15.545124,RequestStatus.DENOISING,6,3,2,1,0.5750486850738525
50,2024-05-19 03:08:17.970965,RequestStatus.DENOISING,7,3,2,2,0.9342007637023926
51,2024-05-19 03:08:18.639876,RequestStatus.DENOISING,7,3,2,2,0.6676154136657715
52,2024-05-19 03:08:19.459010,RequestStatus.DENOISING,7,3,2,2,0.6687555313110352
53,2024-05-19 03:08:21.765135,RequestStatus.DENOISING,7,3,2,2,0.9099302291870117
54,2024-05-19 03:08:22.414117,RequestStatus.DENOISING,7,3,3,1,0.6369102001190186
55,2024-05-19 03:08:23.426788,RequestStatus.DENOISING,8,3,3,2,0.9310693740844727
56,2024-05-19 03:08:24.082018,RequestStatus.DENOISING,8,3,3,2,0.7951035499572754
57,2024-05-19 03:08:24.865130,RequestStatus.DENOISING,7,2,3,2,0.7795124053955078
58,2024-05-19 03:08:25.681265,RequestStatus.DENOISING,7,2,3,2,0.7145445346832275
59,2024-05-19 03:08:26.459485,RequestStatus.DENOISING,7,2,3,2,0.8632082939147949
60,2024-05-19 03:08:27.182300,RequestStatus.DENOISING,7,2,3,2,0.7266831398010254
61,2024-05-19 03:08:27.972788,RequestStatus.DENOISING,7,2,3,2,0.7206144332885742
62,2024-05-19 03:08:28.642116,RequestStatus.DENOISING,7,2,3,2,0.7281084060668945
63,2024-05-19 03:08:30.856072,RequestStatus.DENOISING,7,2,3,2,0.9656667709350586
64,2024-05-19 03:08:31.570280,RequestStatus.DENOISING,7,2,3,2,0.7126188278198242
65,2024-05-19 03:08:32.019821,RequestStatus.POSTPROCESSING,2,2,0,0,0.4166719913482666
66,2024-05-19 03:08:34.246066,RequestStatus.POSTPROCESSING,1,0,0,1,0.7568135261535645
67,2024-05-19 03:08:37.043112,RequestStatus.DENOISING,6,1,3,2,1.767592191696167
68,2024-05-19 03:08:37.714324,RequestStatus.DENOISING,6,1,3,2,0.6543800830841064
69,2024-05-19 03:08:39.885280,RequestStatus.DENOISING,6,1,3,2,0.9283280372619629
70,2024-05-19 03:08:40.552078,RequestStatus.DENOISING,6,1,3,2,0.6686592102050781
71,2024-05-19 03:08:41.359107,RequestStatus.DENOISING,6,1,3,2,0.8070688247680664
72,2024-05-19 03:08:42.147686,RequestStatus.DENOISING,6,1,3,2,0.6819500923156738
73,2024-05-19 03:08:42.836948,RequestStatus.DENOISING,6,1,3,2,0.6796557903289795
74,2024-05-19 03:08:43.486944,RequestStatus.DENOISING,6,1,3,2,0.696685791015625
75,2024-05-19 03:08:44.306975,RequestStatus.DENOISING,6,1,3,2,0.8021988868713379
76,2024-05-19 03:08:44.948929,RequestStatus.DENOISING,6,1,3,2,0.7006418704986572
77,2024-05-19 03:08:45.626870,RequestStatus.DENOISING,6,1,3,2,0.68351149559021
